Non ^&fw++++=Non-academic
- ^zz++++=EXTRAWORD
academic ^jj+atrb+++=EXTRAWORD
readings ^nns++++=readings
were ^vbd+bed+vrb++=were
less ^rbr++++=less
common ^jj+pred+++=common
in ^in++++=in
the ^ati++++=the
syllabuses ^nns++++=syllabuses
analyzed ^vbd+++xvbn+=analyzed.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
873 ^cd++++=873
media ^nn++++=media
pieces ^nns++++=pieces
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
194 ^cd++++=194
syllabuses ^nns++++=syllabuses,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
5.7 ^cd++++=5.7%
% ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
syllabuses ^nns++++=syllabuses,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
4.5 ^cd++++=4.5
media ^nn++++=media
items ^nns++++=items
per ^in++++=per
syllabus ^nn++++=syllabus.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
918 ^cd++++=918
trade ^nn++++=trade
book ^nn++++=book
chapters ^nns+nom+++=chapters
were ^vbd+bed+aux++=were
distributed ^vpsv++agls+xvbnx+=distributed
across ^in+pl+++=across
148 ^cd++++=148
syllabuses ^nns++++=syllabuses,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
4.4 ^cd++++=4.4%
% ^zz++++=EXTRAWORD
of ^in++++=of
syllabuses ^nns++++=syllabuses,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
6.2 ^cd++++=6.2
chapters ^nns+nom+++=chapters
per ^in++++=per
syllabus ^nn++++=syllabus
containing ^vwbg+++xvbg+=containing
trade ^nn++++=trade
book ^nn++++=book
chapters ^nns+nom+++=chapters.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
substantial ^jj+atrb+++=substantial
overlap ^nn++++=overlap
in ^in++++=in
reading ^xvbg+++xvbg+=reading
types ^nns++++=types,
, ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
by ^in++++=by
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
syllabuses ^nns++++=syllabuses
with ^in++++=with
readings ^nns++++=readings
( ^zz++++=(923)
923 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
syllabuses ^nns++++=syllabuses
containing ^vwbg+++xvbg+=containing
each ^dt++++=each
reading ^jj+atrb++xvbg+=reading
type ^nn++++=type,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
most ^ql+emph+++=most
syllabuses ^nns++++=syllabuses
with ^in++++=with
readings ^nns++++=readings
included ^vbd+++xvbn+=included
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
type ^nn++++=type
of ^in++++=of
material ^nn++++=material.
. ^zz++++=EXTRAWORD
