Between ^in++++=Between
2015 ^cd++++=2015
and ^cc++++=and
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
interviews ^nns++++=interviews
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
with ^in++++=with
13 ^cd++++=13
healthcare ^nn+++??+=healthcare
providers ^nns+nom+++=providers
residing ^vwbg+++xvbg+=residing
in ^in++++=in
the ^ati++++=the
province ^nn++++=province
of ^in++++=of
C ^zz++++=C
rdoba ^nn+++??+=rdoba
and ^cc++++=and
the ^ati++++=the
Autonomous ^jj+atrb+++=Autonomous
City ^nn++++=City
of ^in++++=of
Buenos ^np+++??+=Buenos
Aires ^np+++??+=Aires.
. ^zz++++=EXTRAWORD
The ^ati++++=The
participants ^nns+nom+++=participants
included ^vbd+++xvbn+=included
general ^jj+atrb+++=general
practitioners ^nns+nom+++=practitioners,
, ^zz++++=EXTRAWORD
gynecologists ^nns+nom+++=gynecologists
and ^cc++++=and
obstetricians ^nns++++=obstetricians,
, ^zz++++=EXTRAWORD
clinical ^jj+atrb+++=clinical
doctors ^nns++++=doctors,
, ^zz++++=EXTRAWORD
psychologists ^nns+nom+++=psychologists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
workers ^nns+nom+++=workers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
incorporated ^vwbn+++xvbn+=incorporated
reports ^nns++++=reports
from ^in++++=from
a ^at++++=a
range ^nn++++=range
of ^in++++=of
professionals ^nns+nom+++=professionals
beyond ^in++++=beyond
those ^dt+dem+++=those
provided ^vpsv++by+xvbn+=provided
by ^in++++=by
medical ^jj+atrb+++=medical
staff ^nn++++=staff.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
public ^jj+atrb+++=public
health ^nn++++=health
teams ^nns++++=teams
in ^in++++=in
Argentina ^np++++=Argentina
are ^vb+ber+vrb++=are
interdisciplinary ^nn+nom+++=interdisciplinary,
, ^zz++++=EXTRAWORD
professionals ^nns+nom+++=professionals
from ^in++++=from
various ^jj+atrb+++=various
specializations ^nns+nom+++=specializations
may ^md+pos+++=may
participate ^nn+nom+++=participate
in ^in++++=in
different ^jj+atrb+++=different
aspects ^nns++++=aspects
of ^in++++=of
abortion ^nn+nom+++=abortion
service ^nn++++=service
provision ^nn++++=provision.
. ^zz++++=EXTRAWORD
