The ^ati++++=The
wh ^nn+++??+=wh-sentence
- ^zz++++=EXTRAWORD
sentence ^nn+nom+++=EXTRAWORD
in ^in++++=in
( ^zz++++=(47)
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
closely ^rb++++=closely
resembles ^vbz++++=resembles
the ^ati++++=the
ordinary ^jj++++=ordinary
relative ^jj++++=relative
appositive ^jj++++=appositive
in ^in++++=in
( ^zz++++=(48)
48 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
both ^abx++++=both
convey ^vb++++=convey
appositive ^jj+atrb+++=appositive
content ^nn++++=content
and ^cc++++=and
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
introduced ^vpsv++by+xvbnx+=introduced
by ^in++++=by
a ^at++++=a
relative ^jj+atrb+++=relative
pronoun ^nn++++=pronoun.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
an ^at++++=an
examination ^nn+nom+++=examination
of ^in++++=of
their ^pp$+pp3+++=their
syntactic ^jj+atrb+++=syntactic
behavior ^nn++++=behavior
reveals ^nns+nom+++=reveals
important ^jj+atrb+++=important
differences ^nns+nom+++=differences
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
constructions ^nns+nom+++=constructions.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
aspects ^nns++++=aspects
of ^in++++=of
this ^dt+dem+++=this
distinction ^nn+nom+++=distinction
have ^vb+hv+aux++=have
already ^rb++++=already
been ^vbd+ben+aux++=been
discussed ^vpsv++agls+xvbn+=discussed
in ^in++++=in
the ^ati++++=the
introduction ^nn+nom+++=introduction.
. ^zz++++=EXTRAWORD
