Thoropa ^np+++??+=Thoropa
lutzi ^nn+++??+=lutzi
is ^vbz+bez+aux++=is
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
Endangered ^np+++??+=Endangered
by ^in++++=by
the ^ati++++=the
Iucn ^np+++??+=IUCN
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
Data ^nns++++=Data
Deficient ^jj++++=Deficient
in ^in++++=in
Brazil ^np++++=Brazil
according ^in+cmpx+++=according
to ^in++++=to
Icmbio ^np+++??+=ICMBIO
( ^zz++++=(2018).
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
currently ^rb++splt++=currently
known ^vpsv++agls+xvbnx+=known
only ^rb+down+++=only
from ^in++++=from
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
and ^cc++++=and
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo.
. ^zz++++=EXTRAWORD
No ^at++++=No
populations ^nns+nom+++=populations
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
including ^in++++=including
within ^in++++=within
Pnt ^np+++??+=PNT,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
past ^jjb++++=past
30 ^cd++++=30
years ^nns++++=years
( ^zz++++=(Sabbag
sabbag ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
three ^cd++++=three
species ^nn++++=species,
, ^zz++++=EXTRAWORD
Cycloramphus ^np+++??+=Cycloramphus
eleutherodactylus ^nns+++??+=eleutherodactylus,
, ^zz++++=EXTRAWORD
Vitreorana ^np+++??+=Vitreorana
eurygnatha ^nn+++??+=eurygnatha,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Vitreorana ^np+++??+=Vitreorana
uranoscopa ^nn+++??+=uranoscopa,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
listed ^vpsv++agls+xvbnx+=listed
as ^cs+sub+++=as
Presumably ^rb++++=Presumably
Threatened ^jj+++xvbn+=Threatened
only ^rb+down+++=only
at ^rb++++=at
the ^ati++++=the
state ^nn++++=state
level ^nn++++=level
( ^zz++++=(Bergallo
bergallo ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2000 ^cd++++=2000),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
among ^in++++=among
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
C ^zz++++=C.
. ^zz++++=EXTRAWORD
eleutherodactylus ^nns+++??+=eleutherodactylus
is ^vbz+bez+aux++=is
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
Iucn ^np+++??+=IUCN
Red ^jj+atrb+++=Red
List ^nn++++=List
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
Data ^nns++++=Data
Deficient ^jj++++=Deficient.
. ^zz++++=EXTRAWORD
Cycloramphus ^np+++??+=Cycloramphus
eleutherodactylus ^nns+++??+=eleutherodactylus
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
from ^in++++=from
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
states ^nns++++=states
of ^in++++=of
Paran ^np+++??+=Paran
, ^zz++++=,
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais
( ^zz++++=(Rossa-Feres
rossa ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
feres ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Santos ^np++++=Santos-Pereira
- ^zz++++=EXTRAWORD
pereira ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
some ^dti++++=some
studies ^nns++++=studies
have ^vb+hv+aux++=have
indicated ^vprf+++xvbnx+=indicated
its ^pp$+it+++=its
disappearance ^nn+nom+++=disappearance
from ^in++++=from
certain ^jj+atrb+++=certain
areas ^nns++++=areas
by ^in++++=by
the ^ati++++=the
early ^jj++++=early
20th ^cd++++=20th
century ^nn++++=century
( ^zz++++=(Izecksohn
izecksohn ^nn+++??+=EXTRAWORD
& ^zz++++=&
Carvalho ^np+++??+=Carvalho-e-Silva
- ^zz++++=EXTRAWORD
e ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
silva ^np++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Eterovick ^np+++??+=Eterovick
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
was ^vbd+bedz+aux++=was
