Given ^vbd+++xvbn+=Given
the ^ati++++=the
current ^jj+atrb+++=current
global ^jj+atrb+++=global
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
remains ^vbz++++=remains
critical ^jj++++=critical
and ^cc++++=and
presents ^nns++++=presents
uncertain ^jj+atrb+++=uncertain
impacts ^nns+++??+=impacts,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
need ^vb++++=need
to ^to+vcmp+++=to
monitor ^vb++++=monitor
the ^ati++++=the
mental ^jj+atrb+++=mental
health ^nn++++=health
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
population ^nn+nom+++=population
is ^vbz+bez+aux++=is
underscored ^vpsv++agls+xvbnx+=underscored.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
research ^nn++++=research
and ^cc++++=and
interventions ^nns+nom+++=interventions
focused ^vbd+++xvbn+=focused
on ^in++++=on
alleviating ^xvbg+++xvbg+=alleviating
psychological ^jj+atrb+++=psychological
distress ^nns+nom+++=distress
are ^vb+ber+vrb++=are
essential ^nn++++=essential
and ^cc++++=and
should ^md+nec+++=should
be ^vb+be+aux++=be
incorporated ^vpsv++agls+xvbnx+=incorporated
into ^in++++=into
public ^jj+atrb+++=public
health ^nn++++=health
policy ^nn++++=policy
strategies ^nns+++??+=strategies
for ^in++++=for
addressing ^xvbg+++xvbg+=addressing
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
the ^ati++++=the
immediate ^jj+atrb+++=immediate
context ^nn++++=context
and ^cc++++=and
over ^in++++=over
the ^ati++++=the
long ^jj+atrb+++=long
term ^nn++++=term.
. ^zz++++=EXTRAWORD
