There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
empirical ^jj+atrb+++=empirical
evidence ^nn+nom+++=evidence
suggesting ^nn+vpub++xvbg+=suggesting
that ^tht+ncmp+++=that
sentences ^nns+nom+++=sentences
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
exhibit ^vb++++=exhibit
distinct ^jj+atrb+++=distinct
syntactic ^jj+atrb+++=syntactic
structures ^nns++++=structures
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
by ^in++++=by
the ^ati++++=the
syntactic ^jj+atrb+++=syntactic
patterns ^nns++++=patterns
observed ^jj++++=observed
in ^in++++=in
the ^ati++++=the
following ^jj+atrb+++=following
paradigm ^nn++++=paradigm.
. ^zz++++=EXTRAWORD
