Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
recommend ^vb+vsua+++=recommend
that ^tht+vcmp+++=that
future ^jjb+atrb+++=future
studies ^nns++++=studies
examine ^vb++++=examine
the ^ati++++=the
potential ^jj+atrb+++=potential
impact ^nn++++=impact
of ^in++++=of
the ^ati++++=the
project ^nn++++=project
on ^in++++=on
governance ^nn+nom+++=governance,
, ^zz++++=EXTRAWORD
including ^in++++=including
its ^pp$+it+++=its
possible ^jj+atrb+++=possible
mediating ^jj+atrb+++=mediating
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
governance ^nn+nom+++=governance
and ^cc++++=and
donations ^nns+nom+++=donations.
. ^zz++++=EXTRAWORD
