Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
disparities ^nns+nom+++=disparities
in ^in++++=in
the ^ati++++=the
quality ^nn+nom+++=quality
of ^in++++=of
teaching ^xvbg+++xvbg+=teaching
between ^in++++=between
public ^nn++++=public
and ^cc++++=and
private ^jj+atrb+++=private
secondary ^jj+atrb+++=secondary
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Enem ^np+++??+=ENEM
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ensure ^vb+vprv+++=ensure
equitable ^jj+atrb+++=equitable
access ^nn++++=access
to ^to++++=to
or ^cc++++=or
retention ^nn+nom+++=retention
in ^in++++=in
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
In ^in++++=In
response ^nn++++=response,
, ^zz++++=EXTRAWORD
the ^ati++++=the
University ^nn+nom+++=University
for ^in++++=for
All ^abn++++=All
Program ^np+++??+=Program
( ^zz++++=(ProUni)
prouni ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established
in ^in++++=in
2004 ^cd++++=2004
to ^to++++=to
provide ^vbi+vsua+++=provide
scholarships ^nns+nom+++=scholarships
covering ^vwbg+++xvbg+=covering
up ^rp++++=up
to ^to++++=to
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
of ^in++++=of
tuition ^nn+nom+++=tuition
at ^in++++=at
private ^jj+atrb+++=private
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
institutions ^nns+nom+++=institutions
( ^zz++++=(Ministry
ministry ^nn++++=EXTRAWORD
of ^in++++=of
Education ^nn+nom+++=Education
of ^in++++=of
Brazil ^np++++=Brazil
2018b ^cd++++=2018b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Student ^nn++++=Student
Financing ^vwbg+++xvbg+=Financing
Fund ^nn++++=Fund
( ^zz++++=(FIES)
fies ^vbz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
expanded ^vpsv++agls+xvbnx+=expanded
to ^to++++=to
increase ^vbi++++=increase
access ^nn++++=access
for ^in++++=for
socially ^rb++++=socially
vulnerable ^jj+atrb+++=vulnerable
students ^nns++++=students,
, ^zz++++=EXTRAWORD
also ^rb++++=also
offering ^jj+atrb++xvbg+=offering
coverage ^nn+nom+++=coverage
of ^in++++=of
up ^rp++++=up
to ^to++++=to
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
of ^in++++=of
tuition ^nn+nom+++=tuition
costs ^nns++++=costs.
. ^zz++++=EXTRAWORD
Eligibility ^nn+nom+++=Eligibility
for ^in++++=for
funding ^nn++++=funding
through ^in++++=through
Prouni ^np+++??+=ProUni
or ^cc++++=or
fies ^np++++=FIES
was ^vbd+bedz+vrb++=was
contingent ^nn++++=contingent
upon ^in++++=upon
participation ^nn+nom+++=participation
in ^in++++=in
the ^ati++++=the
enem ^np++++=ENEM.
. ^zz++++=EXTRAWORD
