Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
three ^cd++++=three-step
- ^zz++++=EXTRAWORD
step ^vb++++=EXTRAWORD
approach ^nn++++=approach
to ^in++++=to
royalty ^nn++++=royalty
payments ^nns+nom+++=payments,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
that ^tht+vcmp+++=that
Access ^nn++++=Access
Copyright ^np+++??+=Copyright
s ^zz++++=s
approved ^vbd+++xvbn+=approved
tariff ^nn++++=tariff
of ^in++++=of
$ ^zz++++=$14.31
14.31 ^cd++++=EXTRAWORD
per ^in++++=per
student ^nn++++=student
be ^vb+be+aux++=be
applied ^vpsv++agls+xvbnx+=applied
on ^in++++=on
a ^at++++=a
prorated ^jj+atrb++xvbn+=prorated
basis ^nn++++=basis
to ^to++++=to
cover ^vbi++++=cover
only ^rb+down+++=only
the ^ati++++=the
media ^nn++++=media
articles ^nns++++=articles
and ^cc++++=and
trade ^nn++++=trade
book ^nn++++=book
chapters ^nns+nom+++=chapters
authored ^vwbn+++xvbn+=authored
by ^in++++=by
professional ^jj+atrb+++=professional
writers ^nns+nom+++=writers,
, ^zz++++=EXTRAWORD
as ^in++++=as
outlined ^nn++++=outlined
in ^in++++=in
step ^nn++++=step
three ^cd++++=three.
. ^zz++++=EXTRAWORD
The ^ati++++=The
average ^jj+atrb+++=average
amount ^nn++++=amount
of ^in++++=of
professional ^nn++++=professional
writing ^xvbg+++xvbg+=writing
assigned ^vbd+++xvbn+=assigned
per ^nnu++++=per
syllabus ^nn++++=syllabus
is ^vbz+bez+vrb++=is
15.4 ^cd++++=15.4
pages ^nns++++=pages
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Table ^nn++++=Table
7 ^zz++++=7).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
current ^jj+atrb+++=current
Access ^nn++++=Access
Copyright ^np+++??+=Copyright
rate ^nn++++=rate
of ^in++++=of
$ ^zz++++=$0.021
0.021 ^nn+++??+=EXTRAWORD
per ^nnu++++=per
page ^nn++++=page,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
results ^vbz++++=results
in ^in++++=in
a ^at++++=a
cost ^nn++++=cost
of ^in++++=of
$ ^zz++++=$0.171
0.171 ^nn+++??+=EXTRAWORD
per ^nnu++++=per
syllabus ^nn++++=syllabus
for ^in++++=for
students ^nns++++=students
use ^nn++++=use
of ^in++++=of
professional ^jj+atrb+++=professional
writings ^nns++++=writings
in ^in++++=in
media ^nn++++=media
articles ^nns++++=articles
and ^cc++++=and
trade ^nn++++=trade
book ^nn++++=book
chapters ^nns+nom+++=chapters.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+pdem+++=that
students ^vbz++++=students
enroll ^nn+++??+=enroll
in ^in++++=in
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
8.2 ^cd++++=8.2
courses ^nns++++=courses
per ^in++++=per
year ^nn++++=year,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
equates ^nns+nom+++=equates
to ^in++++=to
an ^at++++=an
annual ^jj+atrb+++=annual
charge ^nn++++=charge
of ^in++++=of
$ ^zz++++=$1.40
1.40 ^cd++++=EXTRAWORD
per ^in++++=per
student ^nn++++=student,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
3,391 ^cd++++=3,391
syllabuses ^nns++++=syllabuses
from ^in++++=from
2015 ^cd++++=2015
to ^to++++=to
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
