Given ^vprf+++xvbn+=Given
that ^dt+pdem+++=that
teachers ^nns+nom+++=teachers
are ^vb+ber+vrb++=are
the ^ati++++=the
professionals ^nns+nom+++=professionals
who ^whp+rel+subj++=who
theoretically ^rb++++=theoretically
possess ^nns+nom+++=possess
the ^ati++++=the
necessary ^jj+atrb+++=necessary
knowledge ^vb++++=knowledge
to ^to+vcmp+++=to
identify ^vbi++++=identify
and ^cc+phrs+++=and
refer ^vb++++=refer
Black ^jj+atrb+++=Black
D&t ^np+++??+=D&T
students ^nns++++=students
to ^in++++=to
the ^ati++++=the
school ^npl++++=school's
's ^$++++=EXTRAWORD
Aee ^np+++??+=AEE,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
favorable ^&fw++++=favorable
position ^nn+nom+++=position
to ^to++++=to
observe ^vbi+vprv+++=observe
and ^cc++++=and
support ^nn++++=support
these ^dt+dem+++=these
students ^nns++++=students,
, ^zz++++=EXTRAWORD
as ^ql++++=as
their ^pp$+pp3+++=their
family ^nn++++=family
members ^nns+nom+++=members
and ^cc++++=and
friends ^nns++++=friends
typically ^rb++++=typically
lack ^vb++++=lack
this ^dt+dem+++=this
expertise ^nn++++=expertise.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
a ^at++++=a
risk ^vb++++=risk
that ^dt+dem+++=that
these ^dt+dem+++=these
students ^nns++++=students
may ^md+pos+++=may
never ^rb++++=never
have ^vb+hv+vrb++=have
the ^ati++++=the
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
develop ^vbi++++=develop
their ^pp$+pp3+++=their
natural ^jj+atrb+++=natural
abilities ^nns+nom+++=abilities
or ^cc++++=or
realize ^vb+vprv+tht0++=realize
their ^pp$+pp3+++=their
talents ^nns++++=talents,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
result ^vb++++=result
in ^in++++=in
continued ^jj+atrb++xvbn+=continued
invisibility ^nn+nom+++=invisibility
and ^cc++++=and
the ^ati++++=the
accumulation ^nn+nom+++=accumulation
of ^in++++=of
disadvantages ^nns+nom+++=disadvantages.
. ^zz++++=EXTRAWORD
The ^ati++++=The
research ^nn++++=research
is ^vbz+bez+aux++=is
ongoing ^vbg+++xvbgx+=ongoing;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
preliminary ^jj+atrb+++=preliminary
findings ^nns++++=findings
indicate ^nn+nom+++=indicate
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
a ^at++++=a
fourth ^od++++=fourth
form ^nn++++=form
of ^in++++=of
invisibility ^nn+nom+++=invisibility
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
affecting ^jj+++xvbg+=affecting
gifted ^jj+atrb+++=gifted
Black ^jj+atrb+++=Black
Women ^nns++++=women
From ^in++++=from
The ^ati++++=the
Northern ^jj+atrb+++=northern
Region ^nn++++=region
Of ^in++++=of
The ^ati++++=the
Country ^nn++++=country.
 ^zz++++=EXTRAWORD
