Regarding ^in++++=Regarding
Knowledge ^nn++++=Knowledge
Transfer ^nn+nom+++=Transfer
( ^zz++++=(blue),
blue ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
all ^abn++++=all
institutions ^nns+nom+++=institutions
have ^vb+hv+vrb++=have
data ^nns++++=data
available ^jj++++=available
for ^in++++=for
at ^rb++++=at
least ^rb"++++=least
three ^cd++++=three
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
seven ^cd++++=seven
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
The ^ati++++=The
University ^nn+nom+++=University
of ^in++++=of
Campinas ^np+++??+=Campinas
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^ap+down+++=only
institution ^nn+nom+++=institution
with ^in++++=with
data ^nns++++=data
for ^in++++=for
all ^rb++++=all
seven ^cd++++=seven
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
this ^dt+dem+++=this
dimension ^nn++++=dimension,
, ^zz++++=EXTRAWORD
four ^cd++++=four
indicators ^nns++++=indicators
are ^vb+ber+aux++=are
derived ^vpsv++agls+xvbnx+=derived
from ^in++++=from
open ^jj+atrb+++=open
sources ^nns++++=sources:
: ^zz++++=EXTRAWORD
co ^nn++++=co-publications
- ^zz++++=EXTRAWORD
publications ^nns+nom+++=EXTRAWORD
with ^in++++=with
industrial ^jj+atrb+++=industrial
partners ^nns+nom+++=partners,
, ^zz++++=EXTRAWORD
patents ^nns++++=patents
awarded ^vwbn+++xvbn+=awarded
( ^zz++++=(size-normalized),
size ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
normalized ^jj+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
industry ^nn++++=industry
co ^nn++++=co-patents,
- ^zz++++=EXTRAWORD
patents ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
publications ^nns+nom+++=publications
cited ^vbd+++xvbn+=cited
in ^in++++=in
patents ^nns++++=patents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
indicators ^nns++++=indicators
income ^nn++++=income
from ^in++++=from
continuous ^jj+atrb+++=continuous
professional ^jj+atrb+++=professional
development ^nn+nom+++=development,
, ^zz++++=EXTRAWORD
income ^nn++++=income
from ^in++++=from
private ^jj+atrb+++=private
sources ^nns++++=sources,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spin ^nn++++=spin-offs
- ^zz++++=EXTRAWORD
offs ^nns+++??+=EXTRAWORD
rely ^vb++++=rely
on ^in++++=on
institutional ^jj+atrb+++=institutional
reports ^nns++++=reports.
. ^zz++++=EXTRAWORD
Espm ^np+++??+=ESPM
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^ap+down+++=only
institution ^nn+nom+++=institution
with ^in++++=with
three ^cd++++=three
indicators ^nns++++=indicators
rated ^vbd+++xvbn+=rated
as ^ql++++=as
A ^at++++=A,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
five ^cd++++=five
institutions ^nns+nom+++=institutions
with ^in++++=with
two ^cd++++=two
indicators ^nns++++=indicators
rated ^jj++++=rated
as ^ql++++=as
a ^at++++=A.
. ^zz++++=EXTRAWORD
