Although ^cs+con+++=Although
the ^ati++++=the
analysis ^nn++++=analysis
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+vrb++=is
comprehensive ^jj+pred+++=comprehensive,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
encompass ^nns+++??+=encompass
internal ^jj+atrb+++=internal
management ^nn+nom+++=management
processes ^nns+nom+++=processes,
, ^zz++++=EXTRAWORD
specific ^jj++++=specific
measures ^vbz++++=measures
implemented ^vbd+++xvbn+=implemented
to ^in++++=to
address ^nns+nom+++=address
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
shared ^jj+atrb++xvbn+=shared
responsibilities ^nns+nom+++=responsibilities
of ^in++++=of
other ^ap++++=other
governmental ^jj+atrb+++=governmental
levels ^nns++++=levels
in ^in++++=in
influencing ^xvbg+++xvbg+=influencing
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
analysis ^nn++++=analysis
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
as ^ql++++=as
an ^at++++=an
assessment ^nn+nom+++=assessment
of ^in++++=of
the ^ati++++=the
performance ^nn+nom+++=performance
of ^in++++=of
governmental ^jj+atrb+++=governmental
administrations ^nns+nom+++=administrations.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
reference ^nn+nom+++=reference
for ^in++++=for
evaluating ^xvbg+++xvbg+=evaluating
the ^ati++++=the
objectivity ^nn+nom+++=objectivity,
, ^zz++++=EXTRAWORD
clarity ^nn+nom+++=clarity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transparency ^nn++++=transparency
of ^in++++=of
the ^ati++++=the
recovery ^nn+nom+++=recovery
plans ^nns++++=plans
submitted ^vwbn+vpub++xvbn+=submitted
by ^in++++=by
each ^dt++++=each
brazilian ^jj+atrb+++=Brazilian
federated ^jj+atrb+++=federated
unit ^nn++++=unit
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
study ^nn++++=study.
. ^zz++++=EXTRAWORD
