During ^in++++=During
the ^ati++++=the
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
isolation ^nn+nom+++=isolation
policies ^nns++++=policies
and ^cc++++=and
activity ^nn+nom+++=activity
restrictions ^nns+nom+++=restrictions
were ^vbd+bed+aux++=were
implemented ^vpsv++agls+xvbnx+=implemented
in ^in++++=in
a ^at++++=a
disorganized ^jj+atrb++xvbn+=disorganized
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
lacking ^jj+atrb++xvbg+=lacking
clear ^jj+atrb+++=clear
guidelines ^nns+++??+=guidelines
regarding ^in++++=regarding
the ^ati++++=the
appropriate ^jj+atrb+++=appropriate
level ^nn++++=level
of ^in++++=of
stringency ^nn++++=stringency
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
epidemiological ^jj+atrb+++=epidemiological
context ^nn++++=context.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
established ^jj+atrb++xvbn+=established
regulations ^nns+nom+++=regulations
or ^cc++++=or
protocols ^nns++++=protocols
to ^to++++=to
guide ^vbi++++=guide
the ^ati++++=the
phased ^vwbn+++xvbn+=phased
resumption ^nn+nom+++=resumption
of ^in++++=of
activities ^nns+nom+++=activities
or ^cc++++=or
the ^ati++++=the
relaxation ^nn+nom+++=relaxation
of ^in++++=of
isolation ^nn+nom+++=isolation
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
