Abortion ^nn+nom+++=Abortion-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
stigma ^nn++++=stigma
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
a ^at++++=a
significant ^jj+atrb+++=significant
factor ^nn++++=factor
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
various ^jj+atrb+++=various
adverse ^jj+atrb+++=adverse
outcomes ^nns+++??+=outcomes
for ^in++++=for
women ^nns++++=women,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
by ^in++++=by
causing ^xvbg+++xvbg+=causing
delays ^nns++++=delays
in ^in++++=in
accessing ^xvbg+++xvbg+=accessing
abortion ^nn+nom+++=abortion
services ^nns++++=services
( ^zz++++=(Fiala
fiala ^nn+++??+=EXTRAWORD
and ^cc++++=and
Arthur ^np++++=Arthur,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Research ^nn++++=Research
in ^in++++=in
the ^ati++++=the
health ^nn++++=health-focused
- ^zz++++=EXTRAWORD
focused ^vbd+++xvbn+=EXTRAWORD
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
has ^vbz+hvz+aux++=has
established ^vprf+++xvbnx+=established
that ^tht+vcmp+++=that
stigma ^nn++++=stigma
associated ^vbd+++xvbn+=associated
with ^in++++=with
seeking ^xvbg+++xvbg+=seeking
or ^cc++++=or
providing ^xvbg+++xvbg+=providing
abortion ^nn+nom+++=abortion
care ^nn++++=care
affects ^vbz++++=affects
both ^abx++++=both
the ^ati++++=the
accessibility ^nn+nom+++=accessibility
and ^cc++++=and
location ^nn+nom+++=location
of ^in++++=of
services ^nns++++=services,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
willingness ^nns+nom+++=willingness
of ^in++++=of
healthcare ^nn+++??+=healthcare
providers ^nns+nom+++=providers
to ^to++++=to
offer ^vbi++++=offer
such ^abl++++=such
care ^nn++++=care
( ^zz++++=(Ganatra
ganatra ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
2373 ^cd++++=2373).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
scholars ^nns++++=scholars
have ^vb+hv+aux++=have
emphasized ^vprf+++xvbnx+=emphasized
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
recognizing ^xvbg+++xvbg+=recognizing
and ^cc++++=and
addressing ^xvbg+++xvbg+=addressing
stigma ^nn++++=stigma
as ^in++++=as
a ^at++++=a
predictive ^jj+atrb+++=predictive
factor ^nn++++=factor
influencing ^vwbg+++xvbg+=influencing
abortion ^nn+nom+++=abortion
safety ^nn++++=safety,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
reproductive ^jj+atrb+++=reproductive
morbidity ^nn+nom+++=morbidity
and ^cc++++=and
mortality ^nn+nom+++=mortality
risks ^nns++++=risks
( ^zz++++=(Ostrach,
ostrach ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
