Regarding ^in++++=Regarding
the ^ati++++=the
results ^nns++++=results
obtained ^vwbn+++xvbn+=obtained
with ^in++++=with
the ^ati++++=the
L ^zz++++=L.
. ^zz++++=EXTRAWORD
ferrea ^nn+++??+=ferrea
extract ^nn++++=extract
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
2 ^zz++++=2),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
strains ^nns++++=strains
of ^in++++=of
Escherichia ^np+++??+=Escherichia
coli ^&fw++++=coli,
, ^zz++++=EXTRAWORD
Streptococcus ^np+++??+=Streptococcus
agalactiae ^nn+++??+=agalactiae,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Klebsiella ^np+++??+=Klebsiella
pneumoniae ^nn+++??+=pneumoniae
did ^vbd+dod+aux++=did
not ^xnot++not++=not
exhibit ^vb++++=exhibit
significant ^jj+atrb+++=significant
inhibition ^nn+nom+++=inhibition
zones ^nns++++=zones.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
decoction ^nn+nom+++=decoction,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
applied ^jj+++xvbn+=applied
at ^rb++++=at
concentrations ^nns+nom+++=concentrations
of ^in++++=of
100 ^cd++++=100,
, ^zz++++=EXTRAWORD
50 ^cd++++=50,
, ^zz++++=EXTRAWORD
25 ^cd++++=25,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
12.5 ^cd++++=12.5
mg ^nnu++++=mg/mL,
inhibited ^vwbn+++xvbn+=inhibited
the ^ati++++=the
growth ^nn++++=growth
of ^in++++=of
E ^zz++++=E.
. ^zz++++=EXTRAWORD
faecalis ^nns+++??+=faecalis
strains ^nns++++=strains,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
concentration ^nn+nom+++=concentration
demonstrating ^vwbg+++xvbg+=demonstrating
an ^at++++=an
effect ^nn++++=effect
comparable ^jj++++=comparable
to ^in++++=to
the ^ati++++=the
positive ^jj+atrb+++=positive
control ^nn++++=control.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
simpler ^jjr+atrb+++=simpler
cell ^nn++++=cell
wall ^nn++++=wall
structure ^nn++++=structure
of ^in++++=of
Gram ^np+++??+=Gram-positive
- ^zz++++=EXTRAWORD
positive ^jj+atrb+++=EXTRAWORD
bacteria ^nns++++=bacteria,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
E ^zz++++=E.
. ^zz++++=EXTRAWORD
faecalis ^nns+++??+=faecalis,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
to ^in++++=to
Gram ^np+++??+=Gram-negative
- ^zz++++=EXTRAWORD
negative ^jj+atrb+++=EXTRAWORD
bacteria ^nns++++=bacteria.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
decoction ^nn+nom+++=decoction
method ^nn++++=method
for ^in++++=for
preparing ^xvbg+++xvbg+=preparing
L ^zz++++=L.
. ^zz++++=EXTRAWORD
ferrea ^nn+++??+=ferrea
extract ^nn++++=extract
is ^vbz+bez+vrb++=is
effective ^jj+pred+++=effective
and ^cc+phrs+++=and
straightforward ^jj++++=straightforward,
, ^zz++++=EXTRAWORD
with ^in++++=with
potential ^nn++++=potential
to ^to+ncmp+++=to
reduce ^vbi++++=reduce
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
these ^dt+dem+++=these
microorganisms ^nns+nom+++=microorganisms
on ^in++++=on
the ^ati++++=the
surfaces ^nns++++=surfaces
of ^in++++=of
tools ^nns++++=tools.
. ^zz++++=EXTRAWORD
