Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
the ^ati++++=the
temporary ^jj+atrb+++=temporary
nature ^nn++++=nature
of ^in++++=of
projects ^nns++++=projects
and ^cc++++=and
the ^ati++++=the
resulting ^jj+++xvbg+=resulting
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
contractual ^jj+atrb+++=contractual
relationships ^nns+nom+++=relationships,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
contrast ^nn++++=contrast
with ^in++++=with
the ^ati++++=the
typically ^rb++++=typically
longer ^rbr++++=longer-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
planning ^vwbg+++xvbg+=planning
horizons ^nns++++=horizons
of ^in++++=of
nonprofit ^nn+++??+=nonprofit
organizations ^nns+nom+++=organizations
( ^zz++++=(NPOs),
npos ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
advisable ^jj+pred+++=advisable
for ^in++++=for
Npos ^np+++??+=NPOs
to ^to++++=to
reduce ^vbi++++=reduce
their ^pp$+pp3+++=their
dependence ^nn+nom+++=dependence
on ^in++++=on
individual ^jj+atrb+++=individual
donors ^nns++++=donors.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
can ^md+pos+++=can
be ^vb+be+aux++=be
achieved ^vpsv++by+xvbnx+=achieved
by ^in++++=by
diversifying ^jj+atrb+++=diversifying
funding ^jj+atrb++xvbg+=funding
sources ^nns++++=sources
and ^cc++++=and
increasing ^jj+++xvbg+=increasing
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
unrestricted ^jj+atrb+++=unrestricted
donations ^nns+nom+++=donations
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
not ^xnot++not++=not
tied ^vbd+++xvbn+=tied
to ^in++++=to
specific ^jj+atrb+++=specific
projects ^nns++++=projects,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
enabling ^xvbg+++xvbg+=enabling
sustained ^xvbn+++xvbn+=sustained
efforts ^nns++++=efforts
toward ^in++++=toward
ongoing ^xvbg+++xvbg+=ongoing
organizational ^jj+atrb+++=organizational
objectives ^nns++++=objectives.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
Npos ^np+++??+=NPOs
should ^md+nec+++=should
adopt ^vb++++=adopt
management ^nn+nom+++=management
practices ^nns++++=practices
based ^vwbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
demonstrated ^vbd+vprv++xvbn+=demonstrated
effectiveness ^nns+nom+++=effectiveness
and ^cc++++=and
relevance ^nn+nom+++=relevance
to ^in++++=to
organizational ^jj+atrb+++=organizational
goals ^nns++++=goals,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
solely ^rb++++=solely
in ^in++++=in
response ^nn++++=response
to ^in++++=to
donor ^nn++++=donor
requirements ^nns+nom+++=requirements.
. ^zz++++=EXTRAWORD
