A ^at++++=A
reduction ^nn+nom+++=reduction
in ^in++++=in
biomass ^nns+++??+=biomass
of ^in++++=of
B ^zz++++=B.
. ^zz++++=EXTRAWORD
binderi ^nn+++??+=binderi
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
at ^rb++++=at
the ^ati++++=the
second ^od++++=second
weighing ^vbg+++xvbg+=weighing
( ^zz++++=(after
after ^in++++=EXTRAWORD
one ^cd1++++=one
week ^nn++++=week
of ^in++++=of
cultivation ^nn+nom+++=cultivation)
) ^zz++++=EXTRAWORD
across ^in+pl+++=across
all ^abn++++=all
treatments ^nns+nom+++=treatments
involving ^vwbg+++xvbg+=involving
chemical ^jj+atrb+++=chemical
procedures ^nns++++=procedures
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
biomass ^vbz+++??+=biomass
loss ^nn++++=loss
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
negative ^jj+atrb+++=negative
effects ^nns++++=effects
of ^in++++=of
the ^ati++++=the
chemical ^jj+atrb+++=chemical
compounds ^nns++++=compounds
on ^in++++=on
the ^ati++++=the
macroalga ^nn+++??+=macroalga.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
third ^od++++=third
weighing ^vbg+++xvbg+=weighing
( ^zz++++=(after
after ^in++++=EXTRAWORD
three ^cd++++=three
weeks ^nns++++=weeks
of ^in++++=of
cultivation ^nn+nom+++=cultivation),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
thalli ^nn++++=thalli
exhibited ^vbd+++xvbn+=exhibited
biomass ^nns+++??+=biomass
recovery ^nn+nom+++=recovery,
, ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
by ^in++++=by
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
weight ^nn++++=weight
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
no ^at++++=no
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
in ^in++++=in
the ^ati++++=the
final ^jj+atrb+++=final
weights ^nns++++=weights
of ^in++++=of
the ^ati++++=the
thalli ^nn++++=thalli
among ^in++++=among
the ^ati++++=the
different ^jj+atrb+++=different
treatments ^nns+nom+++=treatments.
. ^zz++++=EXTRAWORD
