Four ^cd++++=Four
altitudinal ^jj+atrb+++=altitudinal
zones ^nns++++=zones
were ^vbd+bed+aux++=were
defined ^vpsv++agls+xvbnx+=defined
based ^vbd+++xvbn+=based
on ^in++++=on
the ^ati++++=the
predominant ^jj+atrb+++=predominant
vegetation ^nn+nom+++=vegetation
types ^nns++++=types:
: ^zz++++=EXTRAWORD
( ^zz++++=(I)
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
below ^in+pl+++=below
1,500 ^cd++++=1,500
m ^zz++++=m
a.s.l ^nn+++??+=a.s.l.;
. ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
( ^zz++++=(II)
ii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
1,500 ^cd++++=1,500
1,900 ^cd++++=1,900
m ^zz++++=m
a.s.l ^nn+++??+=a.s.l.;
. ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
( ^zz++++=(III)
iii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
1,900 ^cd++++=1,900
2,200 ^cd++++=2,200
m ^zz++++=m
a.s.l ^nn+++??+=a.s.l.;
. ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(IV)
iv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
above ^in+pl+++=above
2,200 ^cd++++=2,200
m ^zz++++=m
a.s.l ^nn+++??+=a.s.l.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
zones ^nns++++=zones
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
characterize ^vb++++=characterize
the ^ati++++=the
distribution ^nn+nom+++=distribution
and ^cc++++=and
richness ^nns+nom+++=richness
of ^in++++=of
families ^nns++++=families
across ^in+pl+++=across
the ^ati++++=the
sampled ^jj+atrb+++=sampled
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
