These ^dt+dem+++=These
results ^nns++++=results
have ^vb+hv+vrb++=have
ecological ^jj+atrb+++=ecological
significance ^nn+nom+++=significance
because ^cs+cos+++=because
understanding ^nvbg+++xvbg+=understanding
the ^ati++++=the
tolerance ^nn+nom+++=tolerance
of ^in++++=of
plant ^nn++++=plant
species ^nn++++=species
to ^in++++=to
salinity ^nn+nom+++=salinity
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
determining ^xvbg+++xvbg+=determining
suitable ^jj+atrb+++=suitable
crop ^nn++++=crop
types ^nns++++=types
for ^in++++=for
specific ^jj+atrb+++=specific
environments ^nns+nom+++=environments,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
saline ^nn++++=saline
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
implementing ^xvbg+++xvbg+=implementing
appropriate ^jj+atrb+++=appropriate
management ^nn+nom+++=management
and ^cc++++=and
irrigation ^nn+nom+++=irrigation
practices ^nns++++=practices
to ^to++++=to
prevent ^vbi++++=prevent
further ^jjb+atrb+++=further
salinity ^nn+nom+++=salinity
accumulation ^nn+nom+++=accumulation
( ^zz++++=(Pereira
pereira ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
observed ^jj+atrb++xvbn+=observed
low ^jj+atrb+++=low
tolerance ^nn+nom+++=tolerance
to ^in++++=to
water ^nn++++=water
stress ^nn++++=stress
in ^in++++=in
common ^jj+atrb+++=common
rue ^nn++++=rue
indicates ^nns+nom+++=indicates
limited ^vwbn+++xvbn+=limited
adaptive ^jj+atrb+++=adaptive
capacity ^nn+nom+++=capacity
and ^cc++++=and
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
this ^dt+dem+++=this
species ^nn++++=species
has ^vbz+hvz+vrb++=has
a ^at++++=a
reduced ^jj+atrb++xvbn+=reduced
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
establish ^vbi+vprv+++=establish
in ^in++++=in
areas ^nns++++=areas
with ^in++++=with
water ^nn++++=water
scarcity ^nn+nom+++=scarcity
due ^jj++++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
narrow ^jj+atrb+++=narrow
germination ^nn+nom+++=germination
requirements ^nns+nom+++=requirements.
. ^zz++++=EXTRAWORD
