Income ^nn++++=Income
concentration ^nn+nom+++=concentration,
, ^zz++++=EXTRAWORD
as ^in++++=as
measured ^nn++++=measured
by ^in++++=by
the ^ati++++=the
Gini ^np+++??+=GINI
index ^nn++++=index,
, ^zz++++=EXTRAWORD
demonstrated ^j+++xvbn+=demonstrated
an ^at++++=an
inverse ^jj+atrb+++=inverse
association ^nn+nom+++=association
with ^in++++=with
femicide ^nn+++??+=femicide
rates ^nns++++=rates
in ^in++++=in
the ^ati++++=the
final ^jj+atrb+++=final
spatial ^jj+atrb+++=spatial
model ^nn++++=model,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
areas ^nns++++=areas
with ^in++++=with
lower ^jjr+atrb+++=lower
social ^jj+atrb+++=social
inequality ^nn+nom+++=inequality
exhibited ^vbd+++xvbn+=exhibited
higher ^jjr+atrb+++=higher
femicide ^nn+++??+=femicide
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^xvbg+++xvbg+=finding
contradicts ^vbz++++=contradicts
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
Leite ^np+++??+=Leite
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017),
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
direct ^jj+atrb+++=direct
relationship ^nn+nom+++=relationship
between ^in++++=between
social ^jj+atrb+++=social
inequality ^nn+nom+++=inequality
and ^cc++++=and
femicide ^nn+++??+=femicide
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
study ^vb++++=study
identified ^vbd+++xvbn+=identified
regional ^jj+atrb+++=regional
exceptions ^nns+nom+++=exceptions,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo
State ^nn++++=State,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
displayed ^xvbn+++xvbn+=displayed
lower ^jjr+atrb+++=lower
inequality ^nn+nom+++=inequality
but ^cc++++=but
higher ^jjr+atrb+++=higher
rates ^nns++++=rates
of ^in++++=of
female ^jj+atrb+++=female
mortality ^nn+nom+++=mortality
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
aggression ^vb++++=aggression
compared ^vbd+++xvbn+=compared
to ^in++++=to
other ^ap++++=other
Brazilian ^jj++++=Brazilian
states ^vbz+vpub+++=states
analyzed ^vbd+++xvbn+=analyzed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
emphasize ^vbi++++=emphasize
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
socioeconomic ^jj+atrb+++=socioeconomic
factors ^nns++++=factors
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
femicide ^nn+++??+=femicide,
, ^zz++++=EXTRAWORD
the ^ati++++=the
determinants ^nns+nom+++=determinants
of ^in++++=of
violence ^nn+nom+++=violence
are ^vb+ber+vrb++=are
not ^xnot++not++=not
limited ^jj+++xvbn+=limited
to ^in++++=to
poverty ^nn++++=poverty
and ^cc++++=and
social ^jj+atrb+++=social
inequality ^nn+nom+++=inequality.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
underscores ^vbz+++??+=underscores
the ^ati++++=the
multifactorial ^jj+atrb+++=multifactorial
nature ^nn++++=nature
of ^in++++=of
violence ^nn+nom+++=violence
against ^in++++=against
women ^nns++++=women,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
arises ^vbz++++=arises
from ^in++++=from
the ^ati++++=the
interaction ^nn+nom+++=interaction
of ^in++++=of
individual ^nn+nom+++=individual,
, ^zz++++=EXTRAWORD
relational ^jj++++=relational,
, ^zz++++=EXTRAWORD
social ^jj++++=social,
, ^zz++++=EXTRAWORD
cultural ^jj++++=cultural,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
environmental ^jj+atrb+++=environmental
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
