vt ^nn+++??+=vt
represents ^vbz++++=represents
a ^at++++=a
stationary ^jj+atrb+++=stationary
process ^nns+nom+++=process
with ^in++++=with
a ^at++++=a
mean ^nn++++=mean
of ^in++++=of
zero ^cd++++=zero.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
initial ^jj+atrb+++=initial
value ^nn++++=value
of ^in++++=of
Y ^zz++++=Y
in ^in++++=in
Model ^nn++++=Model
A ^at++++=A
is ^vbz+bez+vrb++=is
stationary ^jj+pred+++=stationary
around ^in++++=around
a ^at++++=a
mean ^vb++++=mean
that ^tht+vcmp+++=that
gradually ^rb++++=gradually
shifts ^vbz++++=shifts
from ^in++++=from
1 ^zz++++=1
to ^to++++=to
1 ^zz++++=1+
+ ^zz++++=EXTRAWORD
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
in ^in++++=in
Model ^nn++++=Model
B ^zz++++=B,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mean ^nn++++=mean
also ^rb++++=also
transitions ^nns+nom+++=transitions
gradually ^rb++++=gradually
between ^in++++=between
1 ^zz++++=1
and ^cc++++=and
1 ^zz++++=1+
+ ^zz++++=EXTRAWORD
2 ^zz++++=2;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
Model ^nn++++=Model
B ^zz++++=B
includes ^vb++++=includes
an ^at++++=an
additional ^jj+atrb+++=additional
constant ^jj+atrb+++=constant
trend ^nn++++=trend
term ^nn++++=term,
, ^zz++++=EXTRAWORD
distinguishing ^jj+++xvbg+=distinguishing
it ^pp3+it+++=it
from ^in++++=from
Model ^nn++++=Model
A ^at++++=A.
. ^zz++++=EXTRAWORD
In ^in++++=In
Model ^nn++++=Model
C ^zz++++=C,
, ^zz++++=EXTRAWORD
the ^ati++++=the
constant ^jj+atrb+++=constant
term ^nn++++=term
transitions ^nns+nom+++=transitions
from ^in++++=from
1 ^zz++++=1
to ^to++++=to
1 ^zz++++=1+
+ ^zz++++=EXTRAWORD
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
trend ^nn++++=trend
term ^nn++++=term
shifts ^vbz++++=shifts
from ^in++++=from
1 ^zz++++=1
to ^to++++=to
1 ^zz++++=1+
+ ^zz++++=EXTRAWORD
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
both ^abx++++=both
occurring ^jj+++xvbg+=occurring
gradually ^rb+cnj+++=gradually,
, ^zz++++=EXTRAWORD
simultaneously ^rb+cnj+++=simultaneously,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
rate ^nn++++=rate.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
test ^nn++++=test,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
assumed ^vpsv++agls+xvbnx+=assumed
that ^tht+vcmp+++=that
the ^ati++++=the
transitions ^nns+nom+++=transitions
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
constant ^nn+nom+++=constant
and ^cc++++=and
trend ^nn++++=trend
terms ^nns++++=terms
occur ^vb++++=occur
concurrently ^rb++++=concurrently
and ^cc++++=and
at ^in++++=at
an ^at++++=an
identical ^jj+atrb+++=identical
speed ^nn++++=speed.
. ^zz++++=EXTRAWORD
