As ^in++++=As
noted ^nn++++=noted
by ^in++++=by
Engelen ^np+++??+=Engelen
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
study ^nn++++=study
demonstrates ^nns+nom+++=demonstrates
a ^at++++=a
significant ^jj+atrb+++=significant
and ^cc+phrs+++=and
strong ^jj+atrb+++=strong
deterrent ^nn++++=deterrent
effect ^nn++++=effect
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
an ^at++++=an
increased ^jj+atrb++xvbn+=increased
probability ^nn+nom+++=probability
of ^in++++=of
detection ^nn+nom+++=detection
and ^cc++++=and
punishment ^nn+nom+++=punishment,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
should ^md+nec+++=should
be ^vb+be+aux++=be
utilized ^vpsv++agls+xvbnx+=utilized
in ^in++++=in
policy ^nn++++=policy
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
also ^rb++++=also
important ^jj+pred+++=important
to ^to+jcmp+++=to
identify ^vbi++++=identify
and ^cc++++=and
address ^nns+nom+++=address
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
factors ^nns++++=factors
that ^tht+rel+subj++=that
contribute ^vb++++=contribute
to ^in++++=to
criminal ^jj+atrb+++=criminal
behavior ^nn++++=behavior
through ^in++++=through
appropriate ^jj+atrb+++=appropriate
policy ^nn++++=policy
interventions ^nns+nom+++=interventions.
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
examine ^vbi++++=examine
the ^ati++++=the
phenomenon ^nn++++=phenomenon
of ^in++++=of
violence ^nn+nom+++=violence
and ^cc++++=and
murder ^nn++++=murder
against ^in++++=against
women ^nns++++=women
and ^cc++++=and
girls ^nns++++=girls
from ^in++++=from
an ^at++++=an
economic ^jj+atrb+++=economic
perspective ^nn++++=perspective.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
