In ^rb++++=In
conclusion ^rb"++++=conclusion,
, ^zz++++=EXTRAWORD
the ^ati++++=the
structures ^nns++++=structures
referred ^vbd+++xvbn+=referred
to ^in++++=to
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
as ^ql++++=as
nominal ^jj+atrb+++=nominal
appositive ^nn++++=appositive
clauses ^nns++++=clauses
( ^zz++++=(as
as ^in++++=EXTRAWORD
exemplified ^nn++++=exemplified
in ^in++++=in
( ^zz++++=(15))
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
appositive ^jj+atrb+++=appositive
relative ^jj+atrb+++=relative
clauses ^nns++++=clauses
( ^zz++++=(as
as ^in++++=EXTRAWORD
illustrated ^nn++++=illustrated
in ^in++++=in
( ^zz++++=(16)),
16) ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
exhibiting ^nvbg+++xvbg+=exhibiting
semantic ^jj+atrb+++=semantic
similarities ^nns+nom+++=similarities,
, ^zz++++=EXTRAWORD
display ^nn++++=display
significant ^jj+atrb+++=significant
syntactic ^jj+atrb+++=syntactic
differences ^nns+nom+++=differences.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
syntactic ^jj+atrb+++=syntactic
distinctions ^nns+nom+++=distinctions
are ^vb+ber+vrb++=are
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
whsentences ^nns+nom+++=whsentences
that ^tht+rel+subj++=that
constitute ^vb++++=constitute
the ^ati++++=the
primary ^jj+atrb+++=primary
focus ^nn++++=focus
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
