Governance ^np+nom++??+=Governance
is ^vbz+bez+vrb++=is
a ^at++++=a
recurring ^jj+atrb+++=recurring
subject ^nn++++=subject
in ^in++++=in
research ^nn++++=research
on ^in++++=on
Nonprofit ^np+++??+=Nonprofit
Organizations ^nns+nom+++=Organizations
( ^zz++++=(NPOs).
npos ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
third ^nn++++=third
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
governance ^nn+nom+++=governance
typically ^rb++++=typically
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
combination ^nn+nom+++=combination
of ^in++++=of
internal ^jj+atrb+++=internal
and ^cc+phrs+++=and
external ^jj+atrb+++=external
mechanisms ^nns+nom+++=mechanisms
established ^vbd+++xvbn+=established
to ^to++++=to
prevent ^vbi++++=prevent
the ^ati++++=the
misuse ^nn++++=misuse
of ^in++++=of
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
ensure ^vb+vprv+++=ensure
the ^ati++++=the
fulfillment ^nn+nom+++=fulfillment
of ^in++++=of
fiduciary ^nn+nom+++=fiduciary
responsibilities ^nns+nom+++=responsibilities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
promote ^vb++++=promote
the ^ati++++=the
alignment ^nn+nom+++=alignment
of ^in++++=of
executives ^nns++++=executives
objectives ^nns++++=objectives
with ^in++++=with
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
organization ^nn+nom+++=organization
and ^cc++++=and
its ^pp$+it+++=its
stakeholders ^nns+nom+++=stakeholders
( ^zz++++=(Harris
harris ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
