Two ^cd++++=Two
species ^nn++++=species
of ^in++++=of
herpetofauna ^nn++++=herpetofauna
recorded ^vbd+vpub++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT,
, ^zz++++=EXTRAWORD
Hemidactylus ^np+++??+=Hemidactylus
mabouia ^nn+++??+=mabouia
and ^cc++++=and
Trachemys ^np+++??+=Trachemys
scripta ^nn+++??+=scripta,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
exotic ^jj+atrb+++=exotic
invaders ^nns+nom+++=invaders.
. ^zz++++=EXTRAWORD
Hemidactylus ^np+++??+=Hemidactylus
mabouia ^nn+++??+=mabouia,
, ^zz++++=EXTRAWORD
commonly ^rb++++=commonly
known ^vbn+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
house ^npl++++=house
gecko ^nn+++??+=gecko,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
introduced ^vpsv++agls+xvbnx+=introduced
to ^in++++=to
Brazil ^np++++=Brazil
from ^in++++=from
Africa ^np++++=Africa
during ^in++++=during
the ^ati++++=the
colonial ^jj+atrb+++=colonial
period ^nn++++=period
and ^cc++++=and
has ^vbz+hvz+aux++=has
subsequently ^rb+tm+splt++=subsequently
expanded ^vprf+++xvbnx+=expanded
its ^pp$+it+++=its
distribution ^nn+nom+++=distribution
across ^in+pl+++=across
various ^jj+atrb+++=various
natural ^jj+atrb+++=natural
environments ^nns+nom+++=environments
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
( ^zz++++=(Rocha
rocha ^nn+++??+=EXTRAWORD
& ^zz++++=&
Bergallo ^np+++??+=Bergallo
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
Telles ^np+++??+=Telles
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Winck ^np+++??+=Winck
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Pnt ^np+++??+=PNT,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
mabouia ^nn+++??+=mabouia
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
primarily ^rb+down+++=primarily
in ^in++++=in
built ^vbd+++xvbn+=built-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
consistent ^jj+pred+++=consistent
with ^in++++=with
its ^pp$+it+++=its
distribution ^nn+nom+++=distribution
patterns ^nns++++=patterns
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
other ^ap++++=other
regions ^nns++++=regions
( ^zz++++=(Rocha
rocha ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
occurrence ^nn+nom+++=occurrence
of ^in++++=of
this ^dt+pdem+++=this
species ^vbz++++=species
near ^in+pl+++=near
the ^ati++++=the
park ^npl++++=park
s ^zz++++=s
natural ^jj+atrb+++=natural
habitats ^nns+++??+=habitats
warrants ^nns+nom+++=warrants
particular ^jj+atrb+++=particular
attention ^nn+nom+++=attention
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
potential ^nn++++=potential
to ^to+ncmp+++=to
become ^vbi++++=become
invasive ^jj++++=invasive
( ^zz++++=(Rocha
rocha ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
