Recently ^rb+cnj+++=Recently,
, ^zz++++=EXTRAWORD
an ^at++++=an
interview ^nn++++=interview
was ^vbd+bedz+aux++=was
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
Paris ^np++++=Paris
with ^in++++=with
Noah ^np++++=Noah
Webster ^np+nom+++=Webster
Sobe ^np+++??+=Sobe,
, ^zz++++=EXTRAWORD
Senior ^nn++++=Senior
Project ^nn++++=Project
Official ^jj++++=Official
in ^in++++=in
Research ^nn++++=Research
and ^cc++++=and
Foresight ^nn++++=Foresight
in ^in++++=in
Education ^nn+nom+++=Education
at ^in++++=at
Unesco ^np+++??+=UNESCO
and ^cc++++=and
a ^at++++=a
collaborator ^nn++++=collaborator
on ^in++++=on
the ^ati++++=the
project ^nn++++=project
" ^zz++++="Futures
futures ^nns+++??+=EXTRAWORD
of ^in++++=of
Education ^nn+nom+++=Education:
: ^zz++++=EXTRAWORD
Learning ^vbg+vprv++xvbg+=Learning
to ^to+vcmp+++=to
Become ^vbi++++=Become."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Vidal ^np+++??+=Vidal
and ^cc++++=and
Bontempi ^np+++??+=Bontempi
Jr ^np+++??+=Jr
( ^zz++++=(2020,
2020 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
4 ^zz++++=4),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
interview ^nn++++=interview
builds ^vbz++++=builds
upon ^in++++=upon
the ^ati++++=the
foundations ^nns+nom+++=foundations
established ^vwbn+++xvbn+=established
by ^in++++=by
the ^ati++++=the
Faure ^np+++??+=Faure
Report ^nn++++=Report
of ^in++++=of
1972 ^cd+date+++=1972,
, ^zz++++=EXTRAWORD
" ^zz++++="Learning
learning ^vbg+vprv++xvbg+=EXTRAWORD
to ^to+vcmp+++=to
Be ^vbi++vrb++=Be,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Delors ^np+++??+=Delors
Report ^nn++++=Report
of ^in++++=of
1996 ^cd+date+++=1996,
, ^zz++++=EXTRAWORD
" ^zz++++="Learning:
learning ^vbg+vprv++xvbg+=EXTRAWORD
: ^zz++++=EXTRAWORD
The ^ati++++=The
Treasure ^nn++++=Treasure
Within ^in+strn+++=Within."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
recent ^jj+atrb+++=recent
initiative ^nn++++=initiative
by ^in++++=by
Unesco ^np+++??+=UNESCO,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
leadership ^nn+nom+++=leadership
of ^in++++=of
Sobe ^np+++??+=Sobe,
, ^zz++++=EXTRAWORD
warrants ^nns+nom+++=warrants
careful ^jj+atrb+++=careful
consideration ^nn+nom+++=consideration,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
ongoing ^jj+++xvbg+=ongoing
" ^zz++++="Futures
futures ^nns+++??+=EXTRAWORD
of ^in++++=of
Education ^nn+nom+++=Education:
: ^zz++++=EXTRAWORD
Learning ^vbg+vprv++xvbg+=Learning
to ^to+vcmp+++=to
Become ^vbi++++=Become"
" ^zz++++=EXTRAWORD
project ^nn++++=project.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
Sobe ^np+++??+=Sobe
acknowledges ^vbz++++=acknowledges
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
as ^ql++++=as
a ^at++++=a
physical ^jj+atrb+++=physical
environment ^nn+nom+++=environment
that ^tht+rel+++=that
facilitates ^nns+nom+++=facilitates
interaction ^nn+nom+++=interaction
between ^in++++=between
students ^nns++++=students
and ^cc++++=and
teachers ^nns+nom+++=teachers
in ^in++++=in
the ^ati++++=the
learning ^jj+atrb++xvbg+=learning
process ^nns+nom+++=process
( ^zz++++=(Vidal
vidal ^jj+atrb+++=EXTRAWORD
& ^zz++++=&
Bontempi ^np+++??+=Bontempi
Jr ^np+++??+=Jr,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
6 ^zz++++=6),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
also ^rb++++=also
reflects ^vbz++++=reflects
on ^in++++=on
the ^ati++++=the
following ^nn++++=following:
: ^zz++++=EXTRAWORD
