Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
most ^ql+emph+++=most
projections ^nns+nom+++=projections
regarding ^in++++=regarding
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic
in ^in++++=in
Brazil ^np++++=Brazil
are ^vb+ber+vrb++=are
pessimistic ^jj+pred+++=pessimistic,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
that ^tht+jcmp+obj++=that
the ^ati++++=the
State ^nn++++=State
be ^vb+be+aux++=be
mandated ^vpsv++agls+xvbnx+=mandated
to ^to++++=to
ensure ^vbi+vprv+++=ensure
internet ^nn+++??+=internet
access ^nn++++=access
as ^in++++=as
a ^at++++=a
civil ^jj+atrb+++=civil
right ^nn++++=right
and ^cc++++=and
to ^to++++=to
promote ^vbi++++=promote
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
internet ^nn+++??+=internet
and ^cc++++=and
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
means ^nn++++=means
of ^in++++=of
maintaining ^xvbg+++xvbg+=maintaining
continuity ^nn+nom+++=continuity
and ^cc++++=and
retention ^nn+nom+++=retention
in ^in++++=in
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
The ^ati++++=The
State ^nn++++=State
should ^md+nec+++=should
develop ^vb++++=develop
sustainable ^jj+atrb+++=sustainable
mechanisms ^nns+nom+++=mechanisms
to ^to++++=to
enhance ^nn+nom+++=enhance
the ^ati++++=the
purchasing ^jj+atrb++xvbg+=purchasing
power ^nn++++=power
of ^in++++=of
individuals ^nns+nom+++=individuals
for ^in++++=for
acquiring ^xvbg+++xvbg+=acquiring
laptop ^nn+++??+=laptop,
, ^zz++++=EXTRAWORD
desktop ^nn+++??+=desktop,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
tablet ^nn++++=tablet
computers ^nns+nom+++=computers.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
responsibility ^nn+nom+++=responsibility
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
to ^to++++=to
provide ^vbi+vsua+++=provide
students ^nns++++=students
in ^in++++=in
vulnerable ^jj+atrb+++=vulnerable
situations ^nns+nom+++=situations
with ^in++++=with
the ^ati++++=the
necessary ^jj+atrb+++=necessary
technological ^jj+atrb+++=technological
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
ensuring ^vbg+vprv++xvbg+=ensuring
internet ^jj+atrb++??+=internet
access ^nn++++=access
for ^in++++=for
participation ^nn+nom+++=participation
in ^in++++=in
synchronous ^jj++++=synchronous
and ^cc++++=and/or
hybrid ^nn++++=hybrid
classes ^nns++++=classes
in ^in++++=in
public ^jj+atrb+++=public
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
institutions ^nns+nom+++=institutions
( ^zz++++=(HEIs).
heis ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
both ^abx++++=both
private ^jj+atrb+++=private
and ^cc+phrs+++=and
public ^jj+atrb+++=public
Heis ^np+++??+=HEIs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
regulatory ^nn++++=regulatory
role ^nn++++=role
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
should ^md+nec+++=should
extend ^vb++++=extend
beyond ^in++++=beyond
ensuring ^xvbg+++xvbg+=ensuring
the ^ati++++=the
availability ^nn+nom+++=availability
of ^in++++=of
academic ^jj+atrb+++=academic
programs ^nns+++??+=programs
to ^in++++=to
also ^rb++++=also
guaranteeing ^jj+atrb+++=guaranteeing
equitable ^jj+atrb+++=equitable
access ^nn++++=access
for ^in++++=for
all ^abn++++=all
students ^nns++++=students,
, ^zz++++=EXTRAWORD
including ^in+strn+++=including,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
sim ^np++++=SIM
cards ^nns++++=cards
to ^to++++=to
facilitate ^nn+nom+++=facilitate
internet ^jj+atrb+++=internet
connectivity ^nn+nom+++=connectivity.
. ^zz++++=EXTRAWORD
