I ^pp1a+pp1+++=I
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
thank ^vbi++++=thank
the ^ati++++=the
anonymous ^jj+atrb+++=anonymous
reviewers ^nns+nom+++=reviewers
for ^in++++=for
their ^pp$+pp3+++=their
careful ^jj++++=careful
reading ^jj+++xvbg+=reading
of ^in++++=of
this ^dt+dem+++=this
paper ^nn++++=paper
and ^cc++++=and
their ^pp$+pp3+++=their
valuable ^jj+atrb+++=valuable
feedback ^nn+++??+=feedback,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
ezekiel ^np++++=Ezekiel
panitz ^np++++=Panitz
for ^in++++=for
his ^pp$+pp3+++=his
thorough ^jj+atrb+++=thorough
language ^nn+nom+++=language
review ^nn++++=review.
. ^zz++++=EXTRAWORD
