Inequalities ^nns+nom++??+=Inequalities
between ^in++++=between
Black ^jj+atrb+++=Black
and ^cc+phrs+++=and
White ^jj+atrb+++=White
populations ^nns+nom+++=populations
can ^md+pos+++=can
be ^vb+be+aux++=be
directly ^rb++splt++=directly
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
the ^ati++++=the
legacy ^nn++++=legacy
of ^in++++=of
colonial ^jj+atrb+++=colonial
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
colonial ^jj+atrb+++=colonial
period ^nn++++=period,
, ^zz++++=EXTRAWORD
whiteness ^nns+nom+++=whiteness
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
ruling ^jj+atrb+++=ruling
class ^nn++++=class
and ^cc++++=and
served ^vbd+++xvbn+=served
as ^ql++++=as
a ^at++++=a
basis ^nn++++=basis
for ^in++++=for
discriminatory ^jj+atrb+++=discriminatory
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
preferential ^jj+atrb+++=preferential
treatment ^nn+nom+++=treatment
of ^in++++=of
White ^jj+atrb+++=White
women ^nns++++=women,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
the ^ati++++=the
marginalization ^nn+nom+++=marginalization
of ^in++++=of
Black ^jj+atrb+++=Black
women ^nns++++=women
( ^zz++++=(Ribeiro,
ribeiro ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1987 ^cd+date+++=1987).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scarcity ^nn+nom+++=scarcity
of ^in++++=of
schools ^nns++++=schools
and ^cc++++=and
teachers ^nns+nom+++=teachers,
, ^zz++++=EXTRAWORD
combined ^j+++xvbn+=combined
with ^in++++=with
a ^at++++=a
general ^jj+atrb+++=general
lack ^nn++++=lack
of ^in++++=of
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
education ^nn+nom+++=education
of ^in++++=of
Black ^jj+atrb+++=Black
individuals ^nns+nom+++=individuals
during ^in++++=during
both ^abx++++=both
the ^ati++++=the
colonial ^jj+atrb+++=colonial
era ^nn++++=era
and ^cc++++=and
the ^ati++++=the
Empire ^nn++++=Empire,
, ^zz++++=EXTRAWORD
resulted ^j+++xvbn+=resulted
in ^in++++=in
significantly ^rb++++=significantly
restricted ^jj+atrb++xvbn+=restricted
educational ^jj+atrb+++=educational
opportunities ^nns+nom+++=opportunities
for ^in++++=for
Black ^jj+atrb+++=Black
women ^nns++++=women
( ^zz++++=(Gon
gon ^nn+++??+=EXTRAWORD
alves ^nns+++??+=alves,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
historical ^jj+atrb+++=historical
patterns ^nns++++=patterns
of ^in++++=of
discrimination ^nn+nom+++=discrimination
continue ^vb++++=continue
to ^to++++=to
manifest ^vbi++++=manifest
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
through ^in++++=through
unequal ^jj+atrb+++=unequal
access ^nn++++=access
to ^in++++=to
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
lower ^jjr+atrb+++=lower
average ^jj+atrb+++=average
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
higher ^jjr+atrb+++=higher
unemployment ^nn+nom+++=unemployment
rates ^nns++++=rates
among ^in++++=among
Black ^jj+atrb+++=Black
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
educational ^jj+atrb+++=educational
achievements ^nns+nom+++=achievements
of ^in++++=of
Black ^jj+atrb+++=Black
women ^nns++++=women
tend ^vb++++=tend
to ^to+vcmp+++=to
yield ^vbi++++=yield
comparatively ^rb++++=comparatively
lower ^jjr++++=lower
occupational ^jj++++=occupational
and ^cc++++=and
income ^nn++++=income
returns ^vbz++++=returns
( ^zz++++=(Hasenbalg,
hasenbalg ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
