Several ^ap++++=Several
approaches ^nns++++=approaches
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
proposed ^vpsv++agls+xvbnx+=proposed
to ^in++++=to
address ^nns+nom+++=address
this ^dt+dem+++=this
problem ^nn++++=problem.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
employ ^vb++++=employ
an ^at++++=an
alternative ^jj+atrb+++=alternative
method ^nn++++=method
to ^to++++=to
classify ^vbi++++=classify
universities ^nns+nom+++=universities
as ^ql++++=as
a ^at++++=a
whole ^nn++++=whole.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
first ^od++++=first
calculate ^nn+nom+++=calculate
the ^ati++++=the
average ^nn+nom+++=average
of ^in++++=of
the ^ati++++=the
indicators ^nns++++=indicators
within ^in++++=within
each ^dt++++=each
dimension ^nn++++=dimension,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
subsequently ^rb+tm+++=subsequently
compute ^vb+vpub+++=compute
a ^at++++=a
global ^jj++++=global
average ^jj++++=average
using ^jj+++xvbg+=using
the ^ati++++=the
values ^nns++++=values
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
each ^dt++++=each
dimension ^nn++++=dimension.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
assigns ^vbz++++=assigns
equal ^jj+atrb+++=equal
weight ^nn++++=weight
to ^in++++=to
each ^dt++++=each
dimension ^nn++++=dimension,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
indicators ^nns++++=indicators
within ^in++++=within
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
avoids ^vbz++++=avoids
assigning ^vbg+++xvbg+=assigning
nearly ^rb+down+++=nearly
identical ^jj+atrb+++=identical
importance ^nn+nom+++=importance
to ^in++++=to
grades ^nns++++=grades
B ^zz++++=B
and ^cc++++=and
E ^zz++++=E,
, ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+vrb++=is
the ^ati++++=the
case ^nn++++=case
with ^in++++=with
the ^ati++++=the
" ^zz++++="U-Multirank"
u ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
multirank ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
methodology ^nn++++=methodology.
. ^zz++++=EXTRAWORD
