As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
in ^in++++=in
2017 ^cd++++=2017
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
State ^nn++++=State
University ^npl+nom+++=University
( ^zz++++=(UNESP)
unesp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
demonstrated ^vbd+vprv++xvbn+=demonstrated
a ^at++++=a
clear ^jj+atrb+++=clear
advantage ^nn+nom+++=advantage,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
average ^jj+atrb+++=average
score ^nn++++=score
of ^in++++=of
2.81 ^cd++++=2.81
points ^nns++++=points,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
to ^to++++=to
1.56 ^cd++++=1.56
points ^nns++++=points
for ^in++++=for
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
ranked ^vbd+++xvbn+=ranked
second ^od++++=second.
. ^zz++++=EXTRAWORD
All ^abn++++=All
other ^ap++++=other
universities ^nns+nom+++=universities
scored ^vbd+++xvbn+=scored
below ^rb++++=below
1.0 ^cd++++=1.0
point ^nn++++=point,
, ^zz++++=EXTRAWORD
with ^in++++=with
minimal ^jj+atrb+++=minimal
variation ^nn+nom+++=variation
among ^in++++=among
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
0.32 ^nn+++??+=0.32
points ^nns++++=points
separate ^nn+nom+++=separate
the ^ati++++=the
third ^nn++++=third
and ^cc++++=and
last ^jj+atrb+++=last
positions ^nns+nom+++=positions.
. ^zz++++=EXTRAWORD
Unesp ^np+++??+=UNESP
leads ^vbz++++=leads
in ^in++++=in
all ^rb++++=all
evaluated ^vbd+++xvbn+=evaluated
dimensions ^nns++++=dimensions,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
distinction ^nn+nom+++=distinction
in ^in++++=in
Teaching ^xvbg+++xvbg+=Teaching
and ^cc++++=and
Learning ^xvbg+++xvbg+=Learning,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
achieved ^vbd+++xvbn+=achieved
3.25 ^cd++++=3.25
points ^nns++++=points
a ^at++++=a
dimension ^nn++++=dimension
in ^in++++=in
which ^whp+rel+pied++=which
only ^rb+down+++=only
Unesp ^np+++??+=UNESP
and ^cc++++=and
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso
( ^zz++++=(2.00
2.00 ^cd++++=EXTRAWORD
points ^nns++++=points)
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
data ^nns++++=data
and ^cc++++=and
in ^in++++=in
Regional ^jj+atrb+++=Regional
Engagement ^nn+nom+++=Engagement,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Unesp ^np+++??+=UNESP
obtained ^vwbn+++xvbn+=obtained
a ^at++++=a
score ^nn++++=score
of ^in++++=of
4.00 ^cd++++=4.00,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
to ^to++++=to
1.17 ^cd++++=1.17
for ^in++++=for
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso.
. ^zz++++=EXTRAWORD
The ^ati++++=The
underlying ^jj+atrb++xvbg+=underlying
factors ^nns++++=factors
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
these ^dt+dem+++=these
results ^nns++++=results
require ^vb+vsua+++=require
further ^jjb+atrb+++=further
investigation ^nn+nom+++=investigation;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
relevant ^jj+pred+++=relevant
to ^to++++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
Unesp ^np+++??+=UNESP
has ^vbz+hvz+aux++=has
significantly ^rb++splt++=significantly
expanded ^vprf+++xvbnx+=expanded
its ^pp$+it+++=its
number ^nn++++=number
of ^in++++=of
campuses ^nns+++??+=campuses
in ^in++++=in
recent ^jj+atrb+++=recent
decades ^nns++++=decades
by ^in++++=by
incorporating ^xvbg+++xvbg+=incorporating
smaller ^jjr++++=smaller
private ^jj+atrb+++=private
academic ^jj+atrb+++=academic
institutions ^nns+nom+++=institutions
across ^in+pl+++=across
various ^jj+atrb+++=various
cities ^nns++++=cities
in ^in++++=in
s ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo
state ^nn++++=state.
. ^zz++++=EXTRAWORD
