Based ^xvbn+++xvbn+=Based
on ^in++++=on
valve ^nn++++=valve
outline ^nn++++=outline,
, ^zz++++=EXTRAWORD
Gomphonema ^np+++??+=Gomphonema
acuminatum ^nn+++??+=acuminatum
C.g ^np+++??+=C.G.
. ^zz++++=EXTRAWORD
Ehrenberg ^np+++??+=Ehrenberg
is ^vbz+bez+vrb++=is
morphologically ^rb++++=morphologically
very ^ql+amp+++=very
similar ^jj++++=similar
to ^in++++=to
Gomphonema ^np+++??+=Gomphonema
brebissonii ^nn+++??+=brebissonii
F.t ^np+++??+=F.T.
. ^zz++++=EXTRAWORD
K ^zz++++=K
tzing ^jj+++xvbg+=tzing
( ^zz++++=(1849:
1849 ^cd+date+++=EXTRAWORD
: ^zz++++=EXTRAWORD
66 ^cd++++=66)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Gomphonema ^np+++??+=Gomphonema
coronatum ^nn+++??+=coronatum
C.g ^np+++??+=C.G.
. ^zz++++=EXTRAWORD
Ehrenberg ^np+++??+=Ehrenberg
( ^zz++++=(1841:
1841 ^cd+date+++=EXTRAWORD
: ^zz++++=EXTRAWORD
211 ^cd++++=211).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
brebissonii ^nn+++??+=brebissonii
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
a ^at++++=a
markedly ^rb++++=markedly
reduced ^jj+atrb++xvbn+=reduced
apical ^jj+atrb+++=apical
inflation ^nn+nom+++=inflation,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
G ^zz++++=G.
. ^zz++++=EXTRAWORD
coronatum ^nn+++??+=coronatum
exhibits ^nns++++=exhibits
a ^at++++=a
smaller ^jjr+atrb+++=smaller
inflation ^nn+nom+++=inflation
near ^in+pl+++=near
the ^ati++++=the
headpole ^nn+++??+=headpole
( ^zz++++=(Kociolek
kociolek ^nn+++??+=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
occurrence ^nn+nom+++=occurrence
of ^in++++=of
G ^zz++++=G.
. ^zz++++=EXTRAWORD
acuminatum ^nn+++??+=acuminatum
in ^in++++=in
the ^ati++++=the
studied ^jj+atrb++xvbn+=studied
core ^nn++++=core
was ^vbd+bedz+vrb++=was
rare ^jj+pred+++=rare,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
present ^vb++++=present
in ^in++++=in
only ^rb+down+++=only
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
samples ^nns++++=samples
and ^cc++++=and
reaching ^vbg+++xvbg+=reaching
a ^at++++=a
maximum ^nn++++=maximum
relative ^jj+atrb+++=relative
abundance ^nn+nom+++=abundance
of ^in++++=of
1 ^zz++++=1%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
samples ^nns++++=samples
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
the ^ati++++=the
Late ^jj+atrb+++=Late
Holocene ^np+++??+=Holocene
to ^in++++=to
the ^ati++++=the
core ^nn++++=core
top ^nn++++=top
( ^zz++++=(approximately
approximately ^rb+down+++=EXTRAWORD
1,757 ^cd++++=1,757
calibrated ^jj+atrb++xvbn+=calibrated
years ^nns++++=years
Bp ^np+++??+=BP
to ^in++++=to
the ^ati++++=the
present ^jj+atrb+++=present).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
constitutes ^vbz++++=constitutes
the ^ati++++=the
first ^od++++=first
documented ^vbd+++xvbn+=documented
record ^nn++++=record
of ^in++++=of
g ^zz++++=G.
. ^zz++++=EXTRAWORD
acuminatum ^nn++++=acuminatum
in ^in++++=in
the ^ati++++=the
brazilian ^jj+atrb+++=Brazilian
amazon ^np++++=Amazon.
. ^zz++++=EXTRAWORD
