Governance ^np+nom++??+=Governance
is ^vbz+bez+vrb++=is
a ^at++++=a
multifaceted ^jj+atrb++xvbn+=multifaceted
concept ^nn++++=concept,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
theoretical ^jj+atrb+++=theoretical
justifications ^nns+nom+++=justifications
for ^in++++=for
treating ^xvbg+++xvbg+=treating
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
construct ^vb++++=construct,
, ^zz++++=EXTRAWORD
as ^ql++++=as
its ^pp$+it+++=its
characterization ^nn+nom+++=characterization
as ^in++++=as
a ^at++++=a
latent ^jj+atrb+++=latent
variable ^nn++++=variable
more ^rbr++++=more
accurately ^rb++++=accurately
reflects ^vbz++++=reflects
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
definitions ^nns+nom+++=definitions
underlying ^vwbg+++xvbg+=underlying
its ^pp$+it+++=its
conceptualization ^nn+nom+++=conceptualization
( ^zz++++=(Larcker
larcker ^jjr++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
Harris ^np++++=Harris
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
governance ^nn+nom+++=governance
is ^vbz+bez+aux++=is
modeled ^vpsv++agls+xvbnx+=modeled
as ^ql++++=as
a ^at++++=a
second ^od++++=second-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
construct ^vb++++=construct
comprising ^jj+atrb++xvbg+=comprising
multiple ^jj+atrb+++=multiple
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions
( ^zz++++=(first-order
first ^od++++=EXTRAWORD
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
constructs ^vbz++++=constructs),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
each ^dt++++=each
of ^in++++=of
which ^whp+rel+pied++=which
is ^vbz+bez+aux++=is
measured ^vpsv++by+xvbn+=measured
by ^in++++=by
specific ^jj+atrb+++=specific
governance ^nn+nom+++=governance
factors ^nns++++=factors
( ^zz++++=(manifest
manifest ^jj+atrb+++=EXTRAWORD
variables ^nns++++=variables).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
