Plans ^nns++++=Plans,
, ^zz++++=EXTRAWORD
decrees ^nns+nom+++=decrees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
technical ^jj+atrb+++=technical
notes ^nns++++=notes
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
for ^in++++=for
18 ^cd++++=18
Brazilian ^jj+atrb+++=Brazilian
federal ^jj+atrb+++=federal
units ^nns++++=units.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
these ^dt+dem+++=these
documents ^nns+nom+++=documents,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scientific ^jj+atrb+++=scientific
team ^nn++++=team
consisted ^vbd+++xvbn+=consisted
exclusively ^rb++++=exclusively
of ^in++++=of
technical ^jj+atrb+++=technical
staff ^nn++++=staff
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
10 ^cd++++=10).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
of ^in++++=of
indicators ^nns++++=indicators
identified ^vwbn+++xvbn+=identified
per ^nnu++++=per
document ^nn+nom+++=document
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
2 ^zz++++=2
to ^to++++=to
11 ^cd++++=11
and ^cc++++=and
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
into ^in++++=into
five ^cd++++=five
categories ^nns++++=categories:
: ^zz++++=EXTRAWORD
frequency ^nn++++=frequency
and ^cc++++=and
distribution ^nn+nom+++=distribution
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease;
; ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
and ^cc+phrs+++=and
collective ^jj+atrb+++=collective
adherence ^nn+nom+++=adherence;
; ^zz++++=EXTRAWORD
installed ^xvbn+++xvbn+=installed
capacity ^nn+nom+++=capacity
or ^cc++++=or
service ^nn++++=service
profile ^nn++++=profile;
; ^zz++++=EXTRAWORD
productive ^jj+atrb+++=productive
potential ^nn++++=potential;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
availability ^nn+nom+++=availability
of ^in++++=of
supplies ^nns++++=supplies.
. ^zz++++=EXTRAWORD
