Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework
established ^vbd+++xvbn+=established
for ^in++++=for
each ^dt++++=each
dimension ^nn++++=dimension,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
grouped ^vbd+++xvbn+=grouped
certain ^jj+atrb+++=certain
variables ^nns++++=variables
with ^in++++=with
the ^ati++++=the
dimensions ^nns++++=dimensions
for ^in++++=for
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
exhibited ^vbd+++xvbnx+=exhibited
the ^ati++++=the
highest ^jjt+atrb+++=highest
discrimination ^nn+nom+++=discrimination
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
variables ^nns++++=variables
were ^vbd+bed+aux++=were
assigned ^vpsv++agls+xvbnx+=assigned
to ^in++++=to
dimensions ^nns++++=dimensions
where ^wrb+who+++=where
their ^pp$+pp3+++=their
discrimination ^nn+nom+++=discrimination
measures ^nns++++=measures
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
the ^ati++++=the
highest ^nn++++=highest
among ^in++++=among
all ^rb++++=all
possible ^jj+atrb+++=possible
associations ^nns+nom+++=associations;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
discrimination ^nn+nom+++=discrimination
measures ^vbz++++=measures
exceeded ^vprf+++xvbn+=exceeded
the ^ati++++=the
inertia ^nn++++=inertia
of ^in++++=of
the ^ati++++=the
respective ^jj+atrb+++=respective
dimensions ^nns++++=dimensions
to ^to++++=to
which ^whp+who+++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
assigned ^vpsv++agls+xvbn+=assigned.
. ^zz++++=EXTRAWORD
