Among ^in++++=Among
the ^ati++++=the
various ^jj+atrb+++=various
news ^nn++++=news
items ^nns++++=items
circulating ^vwbg+++xvbg+=circulating
on ^in++++=on
social ^jj+atrb+++=social
media ^nns++++=media,
, ^zz++++=EXTRAWORD
a ^at++++=a
recent ^jj+atrb+++=recent
publication ^nn+nom+++=publication
on ^in++++=on
Terra ^&fw++++=Terra
s ^zz++++=s
education ^nn+nom+++=education
portal ^nn++++=portal
titled ^vbd+++xvbn+=titled
" ^zz++++="With
with ^in++++=EXTRAWORD
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
digital ^jj+atrb+++=digital
literacy ^nn+nom+++=literacy
becomes ^vbz++++=becomes
a ^at++++=a
step ^nn++++=step
towards ^in++++=towards
the ^ati++++=the
pedagogy ^nn+++??+=pedagogy
of ^in++++=of
the ^ati++++=the
future ^jjb+atrb+++=future
basic ^jj+atrb+++=basic
education ^nn+nom+++=education
up ^rp++++=up
to ^in++++=to
university ^nn+nom+++=university
teachers ^nns+nom+++=teachers
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
prepared ^vbd+++xvbn+=prepared
during ^in++++=during
their ^pp$+pp3+++=their
training ^nn++++=training
to ^to++++=to
use ^vbi++++=use
the ^ati++++=the
Internet ^np++++=Internet's
's ^$++++=EXTRAWORD
interactivity ^nn+nom+++=interactivity,
, ^zz++++=EXTRAWORD
audiovisual ^jj+atrb+++=audiovisual
resources ^nns++++=resources
and ^cc++++=and
hybrid ^nn++++=hybrid
models ^nns++++=models
with ^in++++=with
classes ^nns++++=classes
mediated ^vwbn+++xvbn+=mediated
by ^in++++=by
technology ^nn++++=technology"
" ^zz++++=EXTRAWORD
addresses ^nns+nom+++=addresses
the ^ati++++=the
evolving ^jj+atrb++xvbg+=evolving
requirements ^nns+nom+++=requirements
for ^in++++=for
teacher ^nn++++=teacher
preparation ^nn+nom+++=preparation.
. ^zz++++=EXTRAWORD
Authored ^np+++??+=Authored
by ^in++++=by
journalists ^nns+nom+++=journalists
Ocimara ^np+++??+=Ocimara
Balmant ^np+nom++??+=Balmant
and ^cc++++=and
Alex ^np++++=Alex
Gomes ^np+++??+=Gomes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
article ^nn++++=article
recommends ^vbz+vsua+++=recommends
that ^tht+vcmp+++=that
teachers ^nns+nom+++=teachers
acquire ^vb++++=acquire
the ^ati++++=the
skills ^nns++++=skills
necessary ^jj++++=necessary
to ^to+jcmp+++=to
engage ^vbi++++=engage
with ^in++++=with
a ^at++++=a
new ^jj+atrb+++=new
generation ^nn+nom+++=generation
of ^in++++=of
students ^nns++++=students
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
deeply ^rb++splt++=deeply
integrated ^vpsv++agls+xvbnx+=integrated
with ^in++++=with
Information ^nn+nom+++=Information
and ^cc++++=and
Communication ^nn+nom+++=Communication
Technologies ^np+++??+=Technologies
( ^zz++++=(ICTs).
icts ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
these ^dt+dem+++=these
technologies ^nns+++??+=technologies
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
significant ^jj++++=significant
in ^in++++=in
their ^pp$+pp3+++=their
own ^ap++++=own
right ^nn++++=right,
, ^zz++++=EXTRAWORD
prompting ^nn++++=prompting
substantial ^jj+atrb+++=substantial
curricular ^nn+++??+=curricular
changes ^nns++++=changes
in ^in++++=in
some ^dti++++=some
teacher ^nn++++=teacher
training ^nn++++=training
programs ^nns+++??+=programs
to ^in++++=to
address ^nns+nom+++=address
the ^ati++++=the
demands ^nns++++=demands
of ^in++++=of
contemporary ^jj+atrb+++=contemporary
society ^nn++++=society.
. ^zz++++=EXTRAWORD
The ^ati++++=The
article ^nn++++=article
employs ^vbz++++=employs
persuasive ^jj+atrb+++=persuasive
language ^nn+nom+++=language
to ^in++++=to
highlight ^nn++++=highlight
the ^ati++++=the
emergence ^nn+nom+++=emergence
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
era ^nn++++=era
in ^in++++=in
education ^nn+nom+++=education
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
increased ^jj+atrb++xvbn+=increased
interactivity ^nn+nom+++=interactivity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
Internet ^np+++??+=Internet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
audiovisual ^jj+atrb+++=audiovisual
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
positioning ^nn++++=positioning
these ^dt+dem+++=these
developments ^nns+nom+++=developments
as ^in++++=as
central ^jj++++=central
to ^in++++=to
current ^jj+atrb+++=current
educational ^jj+atrb+++=educational
innovation ^nn+nom+++=innovation
( ^zz++++=(Farias,
farias ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
