Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
and ^cc++++=and
considering ^vbg+++xvbg+=considering
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
concluded ^vpsv++agls+xvbnx+=concluded
that ^tht+vcmp+++=that
the ^ati++++=the
normative ^jj+atrb+++=normative
frameworks ^nns++++=frameworks
of ^in++++=of
the ^ati++++=the
Brazilian ^nn++++=Brazilian
states ^vbz+vpub+++=states
exhibited ^vprf+++xvbn+=exhibited
variation ^nn+nom+++=variation
in ^in++++=in
both ^abx++++=both
configuration ^nn+nom+++=configuration
and ^cc++++=and
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
an ^at++++=an
effective ^jj+atrb+++=effective
national ^jj+atrb+++=national
policy ^nn++++=policy
to ^to++++=to
coordinate ^nn+nom+++=coordinate
actions ^nns+nom+++=actions
among ^in++++=among
the ^ati++++=the
states ^nns++++=states.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
adoption ^nn+nom+++=adoption
of ^in++++=of
divergent ^jj+atrb+++=divergent
policies ^nns++++=policies
across ^in+pl+++=across
different ^jj+atrb+++=different
levels ^nns++++=levels
of ^in++++=of
government ^nn+nom+++=government,
, ^zz++++=EXTRAWORD
state ^nn++++=state-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
plans ^nns++++=plans
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
a ^at++++=a
fragmented ^jj+atrb++xvbn+=fragmented
approach ^nn++++=approach
to ^in++++=to
the ^ati++++=the
relaxation ^nn+nom+++=relaxation
of ^in++++=of
restrictions ^nns+nom+++=restrictions
became ^vbd+++xvbn+=became
predominant ^jj++++=predominant.
. ^zz++++=EXTRAWORD
