In ^rb++++=In
conclusion ^rb"++++=conclusion,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
obtained ^vwbn+++xvbn+=obtained
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
analysis ^nn++++=analysis
provide ^vb+vsua+++=provide
a ^at++++=a
foundation ^nn+nom+++=foundation
for ^in++++=for
future ^jjb+atrb+++=future
studies ^nns++++=studies
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
comprehensively ^jj++++=comprehensively
evaluating ^jj+++xvbg+=evaluating
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
livestock ^nn++++=livestock
production ^nn+nom+++=production
and ^cc++++=and
the ^ati++++=the
conservation ^nn+nom+++=conservation
of ^in++++=of
plant ^nn++++=plant
diversity ^nn+nom+++=diversity
in ^in++++=in
fields ^nns++++=fields
used ^vwbn+++xvbn+=used
for ^in++++=for
extensive ^jj+atrb+++=extensive
livestock ^nn++++=livestock
production ^nn+nom+++=production
in ^in++++=in
the ^ati++++=the
middle ^jjb+atrb+++=Middle
valley ^nn++++=Valley
of ^in++++=of
the ^ati++++=the
r ^zz++++=R
o ^zz++++=o
negro ^nn++++=Negro.
. ^zz++++=EXTRAWORD
