Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Primary ^jj+atrb+++=Primary
care ^nn++++=care
is ^vbz+bez+vrb++=is
responsive ^jj+pred+++=responsive
to ^in++++=to
modifications ^nns+nom+++=modifications
in ^in++++=in
public ^jj+atrb+++=public
health ^nn++++=health
policies ^nns++++=policies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hospitalization ^nn+nom+++=hospitalization
rate ^nn++++=rate
for ^in++++=for
ambulatory ^nn++++=ambulatory
care ^nn++++=care
sensitive ^jj+atrb+++=sensitive
conditions ^nns+nom+++=conditions
serves ^vbz++++=serves
as ^in++++=as
an ^at++++=an
indicator ^vb++++=indicator
that ^tht+vcmp+subj++=that
reflects ^vbz++++=reflects
both ^abx++++=both
changes ^nns++++=changes
in ^in++++=in
the ^ati++++=the
health ^nn++++=health
system ^nn++++=system
and ^cc++++=and
the ^ati++++=the
capacity ^nn+nom+++=capacity
of ^in++++=of
the ^ati++++=the
health ^nn++++=health
service ^nn++++=service
network ^nn++++=network
to ^to++++=to
adapt ^vbi++++=adapt
its ^pp$+it+++=its
organization ^nn+nom+++=organization
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
ensure ^vb+vprv+++=ensure
universal ^jj+atrb+++=universal
coverage ^nn+nom+++=coverage
and ^cc++++=and
meet ^vb++++=meet
population ^nn+nom+++=population
health ^nn++++=health
needs ^nns++++=needs.
. ^zz++++=EXTRAWORD
