These ^dt+dem+++=These
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
well ^rb++++=well
established ^vbd+vprv++xvbn+=established
within ^in++++=within
the ^ati++++=the
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
and ^cc++++=and
humanities ^nns+nom+++=humanities,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
central ^jj+pred+++=central
to ^in++++=to
the ^ati++++=the
ongoing ^nn++++=ongoing
debate ^vb++++=debate
regarding ^in++++=regarding
how ^wrb+who+++=how
to ^in++++=to
address ^nns+nom+++=address
the ^ati++++=the
local ^jj+atrb+++=local
characteristics ^nns++++=characteristics
of ^in++++=of
certain ^jj+atrb+++=certain
scientific ^jj+atrb+++=scientific
communities ^nns+nom+++=communities
while ^cs+sub+++=while
simultaneously ^rb+tm+++=simultaneously
ensuring ^vbg+vprv++xvbg+=ensuring
compliance ^nn+nom+++=compliance
with ^in++++=with
the ^ati++++=the
research ^nn++++=research
standards ^nns++++=standards
expected ^vwbn+++xvbn+=expected
by ^in++++=by
an ^at++++=an
international ^jj+atrb+++=international
audience ^nn+nom+++=audience.
. ^zz++++=EXTRAWORD
The ^ati++++=The
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
and ^cc++++=and
humanities ^nns+nom+++=humanities
not ^xnot++not++=not
only ^rb+down+++=only
examine ^vb++++=examine
but ^cc++++=but
also ^rb++++=also
engage ^vb++++=engage
with ^in++++=with
and ^cc++++=and
contribute ^vb++++=contribute
to ^in++++=to
culture ^nn++++=culture
and ^cc++++=and
society ^nn++++=society,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
often ^rb++++=often
necessitates ^nns+nom+++=necessitates
the ^ati++++=the
dissemination ^nn+nom+++=dissemination
of ^in++++=of
research ^nn++++=research
findings ^nns++++=findings
in ^in++++=in
languages ^nns+nom+++=languages
other ^ap++++=other
than ^in++++=than
English ^jj++++=English
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
issue ^nn++++=issue
is ^vbz+bez+vrb++=is
further ^jjb++++=further
complicated ^jj+++xvbn+=complicated
in ^in++++=in
the ^ati++++=the
current ^jj+atrb+++=current
context ^nn++++=context
of ^in++++=of
increasing ^xvbg+++xvbg+=increasing
scientific ^jj+atrb+++=scientific
openness ^nns+nom+++=openness
and ^cc++++=and
heightened ^vbd+++xvbn+=heightened
awareness ^nns+nom+++=awareness
of ^in++++=of
the ^ati++++=the
local ^jj+atrb+++=local
social ^jj+atrb+++=social
impacts ^nns++++=impacts
of ^in++++=of
research ^nn++++=research
outcomes ^nns++++=outcomes
[ ^zz++++=[9].
9 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
