The ^ati++++=The
discussion ^nn++++=discussion
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that,
, ^zz++++=EXTRAWORD
ceteris ^nns+++??+=ceteris
paribus ^nns+++??+=paribus,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-profit
- ^zz++++=EXTRAWORD
profit ^nn++++=EXTRAWORD
organizations ^nns+nom+++=organizations
( ^zz++++=(NPOs)
npos ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
higher ^jjr+atrb+++=higher
levels ^nns++++=levels
of ^in++++=of
governance ^nn+nom+++=governance
receive ^vb++++=receive
greater ^jjr+atrb+++=greater
amounts ^nns++++=amounts
of ^in++++=of
donations ^nns+nom+++=donations.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
research ^nn++++=research
has ^vbz+hvz+aux++=has
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
potential ^jj+atrb+++=potential
impact ^nn++++=impact
of ^in++++=of
specific ^jj+atrb+++=specific
governance ^nn+nom+++=governance
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
board ^nn++++=board
size ^nn++++=size,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
broader ^jjr+atrb+++=broader
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
disclosure ^vb+++??+=disclosure,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
typically ^rb++splt++=typically
measured ^vpsv++agls+xvbnx+=measured
using ^xvbg+++xvbg+=using
sets ^vbz++++=sets
of ^in++++=of
observable ^jj+atrb+++=observable
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
an ^at++++=an
annual ^jj+atrb+++=annual
report ^nn++++=report.
. ^zz++++=EXTRAWORD
Harris ^np++++=Harris
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
identified ^xvbn+++xvbn+=identified
seven ^cd++++=seven
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions
through ^in++++=through
factor ^nn++++=factor
analysis ^nn++++=analysis
board ^nn++++=board,
, ^zz++++=EXTRAWORD
management ^nn+nom+++=management,
, ^zz++++=EXTRAWORD
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
access ^nn++++=access,
, ^zz++++=EXTRAWORD
audit ^nn+++??+=audit,
, ^zz++++=EXTRAWORD
executive ^nn++++=executive
compensation ^nn+nom+++=compensation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
minutes ^nns++++=minutes
and ^cc++++=and
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
donations ^nns+nom+++=donations
and ^cc++++=and
government ^nn+nom+++=government
grants ^nns++++=grants
are ^vb+ber+aux++=are
positively ^rb++splt++=positively
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
six ^cd++++=six
of ^in++++=of
these ^dt+dem+++=these
dimensions ^nns++++=dimensions,
, ^zz++++=EXTRAWORD
with ^in+cmpx+++=with
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
showed ^vbd+vprv++xvbn+=showed
no ^at++++=no
significant ^jj+atrb+++=significant
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
