Both ^abx++++=Both
root ^nn++++=root
and ^cc++++=and
indirect ^jj+atrb+++=indirect
questions ^nns+nom+++=questions
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
in ^in++++=in
principle ^nn++++=principle,
, ^zz++++=EXTRAWORD
subject ^nn++++=subject
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
syntactic ^jj+atrb+++=syntactic
operation ^nn+nom+++=operation
during ^in++++=during
which ^whp+rel+pied++=which
their ^pp$+pp3+++=their
similar ^jj+atrb+++=similar
structures ^nns++++=structures
are ^vb+ber+aux++=are
formed ^vpsv++agls+xvbnx+=formed.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
a ^at++++=a
closer ^rbr++++=closer
examination ^nn+nom+++=examination
of ^in++++=of
indirect ^jj+atrb+++=indirect
questions ^nns+nom+++=questions
reveals ^nns+nom+++=reveals
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
differ ^vb++++=differ
in ^in++++=in
certain ^jj+atrb+++=certain
respects ^nns++++=respects
from ^in++++=from
root ^nn++++=root
interrogatives ^nns++++=interrogatives.
. ^zz++++=EXTRAWORD
