According ^in+cmpx+++=According
to ^in++++=to
Jorge ^np++++=Jorge
Werthein ^np+++??+=Werthein
( ^zz++++=(2000),
2000 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
former ^ap++++=former
Unesco ^np+++??+=UNESCO
representative ^nn++++=representative
in ^in++++=in
Brazil ^np++++=Brazil
and ^cc++++=and
former ^ap++++=former
coordinator ^nn++++=coordinator
of ^in++++=of
the ^ati++++=the
Unesco ^np+++??+=UNESCO
Mercosul ^np+++??+=Mercosul
program ^nn+++??+=program,
, ^zz++++=EXTRAWORD
information ^nn+nom+++=information
societies ^nns++++=societies
have ^vb+hv+aux++=have
supplanted ^vprf+++xvbnx+=supplanted
industrial ^jj+atrb+++=industrial
societies ^nns++++=societies
by ^in++++=by
elevating ^xvbg+++xvbg+=elevating
information ^nn+nom+++=information
to ^in++++=to
the ^ati++++=the
status ^nn++++=status
of ^in++++=of
the ^ati++++=the
primary ^jj+atrb+++=primary
economic ^jj+atrb+++=economic
asset ^nn++++=asset,
, ^zz++++=EXTRAWORD
a ^at++++=a
shift ^nn++++=shift
that ^tht+rel+++=that
resulted ^jj+++xvbn+=resulted
from ^in++++=from
market ^nn++++=market
restructuring ^vwbg+++xvbg+=restructuring
in ^in++++=in
the ^ati++++=the
1980s ^cd+date+++=1980s.
. ^zz++++=EXTRAWORD
Werthein ^np+++??+=Werthein
asserts ^vbz+vpub+++=asserts
that ^tht+vcmp+++=that
the ^ati++++=the
principal ^jjb+atrb+++=principal
changes ^nns++++=changes
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
education ^nn+nom+++=education
arise ^vb++++=arise
from ^in++++=from
the ^ati++++=the
adoption ^nn+nom+++=adoption
of ^in++++=of
self ^nn++++=self-learning
- ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=EXTRAWORD
technologies ^nns++++=technologies.
. ^zz++++=EXTRAWORD
