Agency ^nn++++=Agency
theory ^nn++++=theory
conceptualizes ^vbz++++=conceptualizes
governance ^nn+nom+++=governance
as ^in++++=as
a ^at++++=a
collection ^nn+nom+++=collection
of ^in++++=of
internal ^jj+atrb+++=internal
and ^cc+phrs+++=and
external ^jj+atrb+++=external
mechanisms ^nns+nom+++=mechanisms
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
address ^nns+nom+++=address
the ^ati++++=the
agency ^nn++++=agency
problem ^nn++++=problem
within ^in++++=within
organizations ^nns+nom+++=organizations,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
arises ^vbz++++=arises
from ^in++++=from
the ^ati++++=the
separation ^nn+nom+++=separation
between ^in++++=between
ownership ^nn+nom+++=ownership
and ^cc++++=and
management ^nn+nom+++=management,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
between ^in++++=between
control ^nn++++=control
and ^cc++++=and
management ^nn+nom+++=management
( ^zz++++=(Fama
fama ^nn+++??+=EXTRAWORD
and ^cc++++=and
jensen ^np++++=Jensen,
, ^zz++++=EXTRAWORD
1983 ^cd+date+++=1983;
; ^zz++++=EXTRAWORD
jensen ^np++++=Jensen,
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
