Specimens ^nns++++=Specimens
of ^in++++=of
B ^zz++++=B.
. ^zz++++=EXTRAWORD
binderi ^nn+++??+=binderi
( ^zz++++=(approximately
approximately ^rb+down+++=EXTRAWORD
900 ^cd++++=900
mg ^nnu++++=mg)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
maintained ^vpsv++agls+xvbnx+=maintained
in ^in++++=in
1000 ^cd++++=1000
ml ^nnu++++=mL
Erlenmeyer ^np+nom++??+=Erlenmeyer
flasks ^nns++++=flasks
containing ^vwbg+++xvbg+=containing
700 ^cd++++=700
ml ^nnu++++=mL
of ^in++++=of
culture ^nn++++=culture
medium ^jjb++++=medium
under ^in++++=under
continuous ^jj+atrb+++=continuous
aeration ^nn+nom+++=aeration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
temperature ^nn++++=temperature
was ^vbd+bedz+aux++=was
maintained ^vpsv++agls+xvbnx+=maintained
at ^rb++++=at
25 ^cd++++=25
C ^zz++++=C,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
photon ^nn++++=photon
flux ^nn++++=flux
density ^nn+nom+++=density
of ^in++++=of
60 ^cd++++=60
80 ^cd++++=80
mol ^nn+++??+=mol
photons ^nns+++??+=photons
m ^zz++++=m
s ^zz++++=s
and ^cc++++=and
a ^at++++=a
photoperiod ^nn+++??+=photoperiod
of ^in++++=of
12:12 ^cd++++=12:12
h ^zz++++=h
( ^zz++++=(light:dark
light:dark ^nn+++??+=EXTRAWORD
cycle ^nn++++=cycle)
) ^zz++++=EXTRAWORD
to ^to++++=to
sustain ^vbi++++=sustain
the ^ati++++=the
macroalgae ^nn+++??+=macroalgae
in ^in++++=in
the ^ati++++=the
laboratory ^nn++++=laboratory
for ^in++++=for
one ^cd1++++=one
week ^nn++++=week
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
chemical ^jj+atrb+++=chemical
procedures ^nns++++=procedures
for ^in++++=for
surface ^nn++++=surface
decontamination ^nn+nom+++=decontamination
testing ^vwbg+++xvbg+=testing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
culture ^nn++++=culture
medium ^jjb++++=medium
consisted ^jj+++xvbn+=consisted
of ^in++++=of
sterilized ^vbd+++xvbn+=sterilized
seawater ^jjr++++=seawater
enriched ^jj+++xvbn+=enriched
with ^in++++=with
von ^&fw++++=von
Stosch ^np+++??+=Stosch
s ^zz++++=s
solution ^nn+nom+++=solution
( ^zz++++=(8
8 ^zz++++=EXTRAWORD
ml ^nnu++++=mL
L ^zz++++=L
) ^zz++++=),
, ^zz++++=EXTRAWORD
prepared ^xvbn+++xvbn+=prepared
according ^in+cmpx+++=according
to ^in++++=to
Edwards ^np++++=Edwards
( ^zz++++=(1970)
1970 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
modified ^vpsv++by+xvbn+=modified
by ^in++++=by
reducing ^xvbg+++xvbg+=reducing
the ^ati++++=the
vitamin ^nn++++=vitamin
concentrations ^nns+nom+++=concentrations
by ^in++++=by
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
yokoya ^np++++=Yokoya
( ^zz++++=(2000).
2000 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
