Based ^xvbn+++xvbn+=Based
on ^in++++=on
valve ^nn++++=valve
outline ^nn++++=outline,
, ^zz++++=EXTRAWORD
Sellaphora ^np+++??+=Sellaphora
renata ^nn+++??+=renata
Metzeltin ^np+++??+=Metzeltin
& ^zz++++=&
Lange ^np+++??+=Lange-Bertalot
- ^zz++++=EXTRAWORD
bertalot ^nn+++??+=EXTRAWORD
closely ^rb++++=closely
resembles ^vbz++++=resembles
Sellaphora ^np+++??+=Sellaphora
lambda ^nn+++??+=lambda
( ^zz++++=(Cleve)
cleve ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Metzeltin ^np+++??+=Metzeltin
& ^zz++++=&
Lange ^np+++??+=Lange-Bertalot
- ^zz++++=EXTRAWORD
bertalot ^nn+++??+=EXTRAWORD
( ^zz++++=(1998:
1998 ^cd+date+++=EXTRAWORD
: ^zz++++=EXTRAWORD
206 ^cd++++=206).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
renata ^nn+++??+=renata
lacks ^vbz++++=lacks
the ^ati++++=the
marginal ^jj+atrb+++=marginal
spines ^nns++++=spines
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
present ^vb++++=present
in ^in++++=in
S ^zz++++=S.
. ^zz++++=EXTRAWORD
lambda ^nn+++??+=lambda
( ^zz++++=(Metzeltin
metzeltin ^nn+++??+=EXTRAWORD
& ^zz++++=&
Lange ^np+++??+=Lange-Bertalot
- ^zz++++=EXTRAWORD
bertalot ^nn+++??+=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sellaphora ^np+++??+=Sellaphora
renata ^nn+++??+=renata
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
core ^nn++++=core
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
maximum ^nn++++=maximum
relative ^jj+atrb+++=relative
abundance ^nn+nom+++=abundance
of ^in++++=of
1.5 ^cd++++=1.5%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
samples ^nns++++=samples
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
early ^jj+atrb+++=early
Late ^jj+atrb+++=Late
Holocene ^np+++??+=Holocene,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
1,322 ^cd++++=1,322
calibrated ^jj+atrb++xvbn+=calibrated
years ^nns++++=years
before ^in++++=before
present ^jj++++=present
( ^zz++++=(cal.
cal ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
yr ^nn++++=yr
bp ^np++++=BP).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
