Data ^nns++++=Data
adjustment ^nn+nom+++=adjustment
and ^cc++++=and
analysis ^nn++++=analysis
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
Spss ^np+++??+=SPSS
( ^zz++++=(Statistical
statistical ^jj+atrb+++=EXTRAWORD
Package ^nn+nom+++=Package
for ^in++++=for
the ^ati++++=the
Social ^jj+atrb+++=Social
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
version ^nn++++=version
23 ^cd++++=23).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Descriptive ^jj+atrb+++=Descriptive
analyses ^nns++++=analyses,
, ^zz++++=EXTRAWORD
including ^in++++=including
absolute ^jj++++=absolute
and ^cc++++=and
percentage ^nn+nom+++=percentage
frequencies ^nns++++=frequencies,
, ^zz++++=EXTRAWORD
means ^nns++++=means,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
standard ^jj+atrb+++=standard
deviations ^nns+nom+++=deviations,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
obtain ^vb++++=obtain
the ^ati++++=the
final ^jj+atrb+++=final
scores ^nns++++=scores
of ^in++++=of
the ^ati++++=the
instruments ^nns+nom+++=instruments.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
binomial ^jj+atrb+++=binomial
logistic ^nn++++=logistic
regression ^nn++++=regression
models ^nns++++=models
employing ^vwbg+++xvbg+=employing
the ^ati++++=the
Backward ^jj+atrb+++=Backward
Lr ^np+++??+=LR
method ^nn++++=method
were ^vbd+bed+aux++=were
applied ^vpsv++agls+xvbnx+=applied
to ^to++++=to
estimate ^nn+nom+++=estimate
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
the ^ati++++=the
independent ^jj+atrb+++=independent
variables ^nns++++=variables
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
skin ^nn++++=skin
color ^nn++++=color,
, ^zz++++=EXTRAWORD
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
living ^jj+++xvbg+=living
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
presence ^nn+nom+++=presence
of ^in++++=of
chronic ^jj+atrb+++=chronic
illness ^nns+nom+++=illness,
, ^zz++++=EXTRAWORD
age ^nn++++=age
( ^zz++++=(categorized
categorized ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
quartiles ^nns+++??+=quartiles:
: ^zz++++=EXTRAWORD
up ^rp++++=up
to ^to++++=to
24 ^cd++++=24
years ^nns++++=years,
, ^zz++++=EXTRAWORD
25 ^cd++++=25
30 ^cd++++=30
years ^nns++++=years,
, ^zz++++=EXTRAWORD
31 ^cd++++=31
39 ^cd++++=39
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
over ^in++++=over
39 ^cd++++=39
years ^nns++++=years),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
income ^nn++++=income,
, ^zz++++=EXTRAWORD
health ^nn++++=health
perception ^nn+nom+++=perception,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
meta ^nn+++??+=meta-worry
- ^zz++++=EXTRAWORD
worry ^vb+vprv+++=EXTRAWORD
( ^zz++++=(dichotomized
dichotomized ^jj+++xvbn+=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
mean ^jj++++=mean
as ^ql++++=as
above ^jjb++++=above
the ^ati++++=the
mean ^nn++++=mean
and ^cc++++=and
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
mean ^vb+vprv+++=mean)
) ^zz++++=EXTRAWORD
on ^in++++=on
symptoms ^nns++++=symptoms
of ^in++++=of
anxiety ^nn++++=anxiety
and ^cc++++=and
depression ^nn++++=depression.
. ^zz++++=EXTRAWORD
