Given ^vbd+++xvbn+=Given
a ^at++++=a
significance ^nn+nom+++=significance
level ^nn++++=level
of ^in++++=of
0.05 ^nn+++??+=0.05,
, ^zz++++=EXTRAWORD
a ^at++++=a
statistical ^jj+atrb+++=statistical
power ^nn++++=power
of ^in++++=of
0.8 ^nn+++??+=0.8,
, ^zz++++=EXTRAWORD
an ^at++++=an
effect ^nn++++=effect
size ^nn++++=size
of ^in++++=of
0.35 ^nn+++??+=0.35,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
six ^cd++++=six
predictors ^nns++++=predictors,
, ^zz++++=EXTRAWORD
the ^ati++++=the
minimum ^nn++++=minimum
required ^vbd+++xvbn+=required
sample ^nn++++=sample
size ^nn++++=size
was ^vbd+bedz+vrb++=was
46 ^cd++++=46
observations ^nns+nom+++=observations.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
the ^ati++++=the
moderation ^nn+nom+++=moderation
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
a ^at++++=a
multigroup ^nn+++??+=multigroup
approach ^nn++++=approach
with ^in++++=with
two ^cd++++=two
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
the ^ati++++=the
minimum ^jj+atrb+++=minimum
total ^jj+atrb+++=total
sample ^nn++++=sample
size ^nn++++=size
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbnx+=set
at ^rb++++=at
92 ^cd++++=92
observations ^nns+nom+++=observations,
, ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^to++++=to
two ^cd++++=two
groups ^nns++++=groups
of ^in++++=of
46 ^cd++++=46
each ^dt++++=each.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
these ^dt+dem+++=these
parameters ^nns+nom+++=parameters,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sampling ^nn+nom+++=sampling
plan ^nn++++=plan
was ^vbd+bedz+aux++=was
developed ^vprf+++xvbn+=developed
as ^ql++++=as
shown ^vwbn+vprv+++=shown
in ^in++++=in
table ^nn++++=Table
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
