Epiphytic ^np+++??+=Epiphytic
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
0.8 ^nn+++??+=0.8
1.7 ^cd++++=1.7
m ^zz++++=m
tall ^jj++++=tall
at ^rb++++=at
flowering ^nn++++=flowering.
. ^zz++++=EXTRAWORD
Leaf ^nn++++=Leaf
rosettes ^nns+nom+++=rosettes
are ^vb+ber+vrb++=are
infundibuliform ^nn+++??+=infundibuliform.
. ^zz++++=EXTRAWORD
Leaf ^nn++++=Leaf
sheaths ^nns+++??+=sheaths
measure ^vb++++=measure
23 ^cd++++=23
9 ^zz++++=9
14 ^cd++++=14
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
broadly ^rb+down+++=broadly
elliptic ^jj++++=elliptic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dark ^jj++++=dark
brown ^jj++++=brown;
; ^zz++++=EXTRAWORD
leaf ^nn++++=leaf
blades ^nns++++=blades
are ^vb+ber+vrb++=are
36 ^cd++++=36
72 ^cd++++=72
5.5 ^cd++++=5.5
7.5 ^cd++++=7.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
linear ^jj++++=linear-lanceolate,
- ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
green ^nn++++=green
with ^in++++=with
darker ^jjr++++=darker,
, ^zz++++=EXTRAWORD
tenuous ^jj+atrb+++=tenuous
transverse ^jj+atrb+++=transverse
stripes ^nns++++=stripes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
an ^at++++=an
acute ^jj++++=acute-attenuate,
- ^zz++++=EXTRAWORD
attenuate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
mucronate ^nn+nom+++=mucronate
apex ^nn++++=apex.
. ^zz++++=EXTRAWORD
The ^ati++++=The
peduncle ^nn+++??+=peduncle
is ^vbz+bez+vrb++=is
50 ^cd++++=50
63 ^cd++++=63
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
