Multiple ^jj+atrb+++=Multiple
spatial ^jj+atrb+++=spatial
regression ^nn++++=regression
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
the ^ati++++=the
final ^jj+atrb+++=final
phase ^nn++++=phase
of ^in++++=of
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fit ^jj+atrb+++=fit
quality ^nn+nom+++=quality
of ^in++++=of
the ^ati++++=the
spatial ^jj+atrb+++=spatial
regression ^nn++++=regression
model ^nn++++=model
was ^vbd+bedz+vrb++=was
comparable ^jj+pred+++=comparable
to ^in++++=to
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
traditional ^jj+atrb+++=traditional
linear ^jj+atrb+++=linear
regression ^nn++++=regression
model ^nn++++=model,
, ^zz++++=EXTRAWORD
as ^in++++=as
confirmed ^nn++++=confirmed
by ^in++++=by
residual ^jj+atrb+++=residual
analysis ^nn++++=analysis
and ^cc++++=and
the ^ati++++=the
Moran ^np+++??+=Moran
s ^zz++++=s
I ^pp1a+pp1+++=I
index ^nn++++=index.
. ^zz++++=EXTRAWORD
Variable ^jj+atrb+++=Variable
selection ^nn+nom+++=selection
for ^in++++=for
model ^nn++++=model
inclusion ^nn++++=inclusion
or ^cc++++=or
exclusion ^nn++++=exclusion
was ^vbd+bedz+aux++=was
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
following ^jj+atrb++xvbg+=following
criteria ^nns++++=criteria:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
selection ^nn+nom+++=selection
of ^in++++=of
variables ^nns++++=variables
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
statistical ^jj+atrb+++=statistical
correlation ^nn+nom+++=correlation;
; ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
inclusion ^nn++++=inclusion
of ^in++++=of
variables ^nns++++=variables
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
analyzed ^jj+++xvbn+=analyzed
jointly ^rb+cnj+++=jointly,
, ^zz++++=EXTRAWORD
resulted ^j+++xvbn+=resulted
in ^in++++=in
a ^at++++=a
higher ^jjr+atrb+++=higher
F ^zz++++=F
value ^nn++++=value
in ^in++++=in
simple ^jj+atrb+++=simple
regression ^nn++++=regression
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
including ^in++++=including
variables ^nns++++=variables
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
block ^nn++++=block
as ^ql++++=as
adjustment ^nn+nom+++=adjustment
variables ^nns++++=variables
regardless ^rb++++=regardless
of ^in++++=of
their ^pp$+pp3+++=their
individual ^jj+atrb+++=individual
associations ^nns+nom+++=associations;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
inclusion ^nn++++=inclusion
of ^in++++=of
variables ^nns++++=variables
that ^tht+rel+subj++=that
demonstrated ^vprf+++xvbn+=demonstrated
a ^at++++=a
significant ^jj+atrb+++=significant
partial ^jj+atrb+++=partial
correlation ^nn+nom+++=correlation
with ^in++++=with
the ^ati++++=the
dependent ^jj++++=dependent
variable ^jj++++=variable
after ^in++++=after
controlling ^nn++++=controlling
for ^in++++=for
other ^ap++++=other
modeled ^jj+atrb++xvbn+=modeled
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
Variables ^nns++++=Variables
with ^in++++=with
a ^at++++=a
p ^zz++++=p-value
- ^zz++++=EXTRAWORD
value ^nn++++=EXTRAWORD
0.05 ^nn+++??+=0.05
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbnx+=excluded
from ^in++++=from
the ^ati++++=the
final ^jj+atrb+++=final
model ^nn++++=model.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
Stata ^np+++??+=Stata
1.0 ^cd++++=11.0,
 ^zz++++=EXTRAWORD
Spss ^np++++=SPSS
8.0 ^cd+date+++=18.0,
 ^zz++++=EXTRAWORD
And ^cc+cls+++=and
Geoda ^np++++=GeoDa
.95 ^nn++++=0.95-i.
 ^zz++++=EXTRAWORD
I. ^nn++++=EXTRAWORD
