Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
indicate ^nn+nom+++=indicate
a ^at++++=a
decrease ^nn++++=decrease
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
prenatal ^jj+atrb+++=prenatal
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
diabetes ^nn++++=diabetes-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
services ^nns++++=services,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
medical ^jj+atrb+++=medical
consultations ^nns+nom+++=consultations
conducted ^vbd+++xvbn+=conducted
within ^in++++=within
Brazil ^np++++=Brazil
s ^zz++++=s
Primary ^jj+atrb+++=Primary
Health ^nn++++=Health
Care ^nn++++=Care
system ^nn++++=system
following ^vwbg+++xvbg+=following
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
the ^ati++++=the
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
