However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
observed ^vpsv++agls+xvbnx+=observed
that ^tht+vcmp+++=that
" ^zz++++="quem"
quem ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
may ^md+pos+++=may
only ^rb+down+++=only
be ^vb+be+aux++=be
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
a ^at++++=a
nominal ^jj+atrb+++=nominal
antecedent ^nn++++=antecedent
when ^wrb+who+++=when
it ^pp3+it+++=it
functions ^nns+nom+++=functions
as ^in++++=as
the ^ati++++=the
complement ^nn+nom+++=complement
of ^in++++=of
a ^at++++=a
preposition ^nn+nom+++=preposition;
; ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sentence ^nn+nom+++=sentence
is ^vbz+bez+aux++=is
considered ^vbd+vprv++xvbn+=considered
unacceptable ^jj++++=unacceptable.
. ^zz++++=EXTRAWORD
