( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Academic ^jj+atrb+++=Academic
book ^nn++++=book
chapters ^nns+nom+++=chapters
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
academic ^jj+atrb+++=academic
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
book ^nn++++=book
title ^nn++++=title,
, ^zz++++=EXTRAWORD
inclusion ^nn++++=inclusion
in ^in++++=in
a ^at++++=a
list ^nn++++=list
of ^in++++=of
leading ^xvbg+++xvbg+=leading
academic ^jj+atrb+++=academic
publishers ^nns+nom+++=publishers,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
publication ^nn+nom+++=publication
by ^in++++=by
any ^dti++++=any
university ^npl+nom+++=university
press ^nn++++=press.
. ^zz++++=EXTRAWORD
