Leaves ^nns++++=Leaves
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
narrowly ^rb++++=narrowly
acuminate ^nn+nom+++=acuminate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
subulate ^nn+nom+++=subulate
from ^in++++=from
an ^at++++=an
ovate ^nn++++=ovate
base ^nn++++=base;
; ^zz++++=EXTRAWORD
laminal ^jj+atrb+++=laminal
cells ^nns++++=cells
thickened ^vprf+++xvbn+=thickened,
, ^zz++++=EXTRAWORD
with ^in++++=with
basal ^jj+atrb+++=basal
cells ^nns++++=cells
elongate ^nn+nom+++=elongate
to ^in++++=to
rectangular ^jj++++=rectangular;
; ^zz++++=EXTRAWORD
costa ^np++++=costa
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
percurrent ^jj++++=percurrent
to ^in++++=to
excurrent ^jj++++=excurrent;
; ^zz++++=EXTRAWORD
capsule ^nn++++=capsule
cylindric ^nn++++=cylindric
and ^cc++++=and
strongly ^rb+amp+++=strongly
sulcate ^nn+nom+++=sulcate.
. ^zz++++=EXTRAWORD
Terrestrial ^jj++++=Terrestrial
in ^in++++=in
montane ^nn+++??+=montane
regions ^nns++++=regions
of ^in++++=of
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest,
, ^zz++++=EXTRAWORD
recorded ^j+++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
s ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo;
; ^zz++++=EXTRAWORD
endemic ^jj++++=endemic
to ^in++++=to
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
