Table ^nn++++=Table
3 ^zz++++=3
presents ^vbz++++=presents
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
growth ^nn++++=growth
curve ^nn++++=curve
analysis ^nn++++=analysis
using ^vwbg+++xvbg+=using
the ^ati++++=the
hydroalcoholic ^jj+atrb+++=hydroalcoholic
extract ^nn++++=extract
and ^cc++++=and
decoction ^nn+nom+++=decoction
of ^in++++=of
L ^zz++++=L.
. ^zz++++=EXTRAWORD
ferrea ^nn+++??+=ferrea
on ^in++++=on
strains ^nns++++=strains
that ^tht+rel+subj++=that
demonstrated ^vprf+++xvbn+=demonstrated
sensitivity ^nn+nom+++=sensitivity
at ^in++++=at
the ^ati++++=the
optimal ^jj+atrb+++=optimal
concentration ^nn+nom+++=concentration
( ^zz++++=(100
100 ^cd++++=EXTRAWORD
mg ^nnu++++=mg/mL),
as ^in++++=as
determined ^nn++++=determined
by ^in++++=by
the ^ati++++=the
well ^rb++++=well
diffusion ^nn++++=diffusion
technique ^nn++++=technique.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
decoction ^nn+nom+++=decoction,
, ^zz++++=EXTRAWORD
the ^ati++++=the
E ^zz++++=E.
. ^zz++++=EXTRAWORD
faecalis ^nns+++??+=faecalis
strain ^nn++++=strain
exhibited ^vbd+++xvbn+=exhibited
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
absorbance ^nn+nom+++=absorbance
of ^in++++=of
0.24 ^nn+++??+=0.24.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
S ^zz++++=S.
. ^zz++++=EXTRAWORD
aureus ^&fw++++=aureus
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
decrease ^nn++++=decrease
in ^in++++=in
absorbance ^nn+nom+++=absorbance
of ^in++++=of
0.07 ^nn+++??+=0.07,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
change ^nn++++=change
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
statistically ^rb++++=statistically
significant ^jj++++=significant.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
the ^ati++++=the
extract ^nn++++=extract,
, ^zz++++=EXTRAWORD
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
bacterial ^jj+atrb+++=bacterial
growth ^nn++++=growth
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
after ^in++++=after
24 ^cd++++=24
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
P ^zz++++=P.
. ^zz++++=EXTRAWORD
aeruginosa ^nn+++??+=aeruginosa
strain ^nn++++=strain
showing ^vwbg+++xvbg+=showing
a ^at++++=a
decrease ^nn++++=decrease
in ^in++++=in
absorbance ^nn+nom+++=absorbance
of ^in++++=of
0.36 ^nn+++??+=0.36.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
increases ^vbz++++=increases
in ^in++++=in
absorbance ^nn+nom+++=absorbance
values ^nns++++=values
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
for ^in++++=for
Corynebacterium ^np+++??+=Corynebacterium
spp ^nn+++??+=spp.
. ^zz++++=EXTRAWORD
( ^zz++++=(0.06),
0.06 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
faecalis ^nns+++??+=faecalis
( ^zz++++=(0.03),
0.03 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Salmonella ^np+++??+=Salmonella
Typhimurium ^np+++??+=Typhimurium
( ^zz++++=(0.14);
0.14 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
changes ^nns++++=changes
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
statistically ^rb++++=statistically
significant ^jj++++=significant
compared ^vpsv++agls+xvbn+=compared
to ^to++++=to
the ^ati++++=the
positive ^jj+atrb+++=positive
control ^nn++++=control.
. ^zz++++=EXTRAWORD
