It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
change ^nn++++=change
to ^in++++=to
the ^ati++++=the
Pnab ^np+++??+=PNAB
occurred ^vbd+++xvbn+=occurred
only ^rb+down+++=only
recently ^rb+tm+++=recently;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
findings ^nns++++=findings
lacking ^vwbg+++xvbg+=lacking
statistical ^jj+atrb+++=statistical
significance ^nn+nom+++=significance
for ^in++++=for
the ^ati++++=the
period ^nn++++=period
after ^cs+sub+++=after
2017 ^cd++++=2017
should ^md+nec+++=should
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
with ^in++++=with
caution ^nn+nom+++=caution.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
authors ^nns++++=authors
have ^vb+hv+aux++=have
argued ^vprf+++xvbnx+=argued
that ^tht+vcmp+++=that
the ^ati++++=the
new ^jj+atrb+++=new
guidelines ^nns+++??+=guidelines
have ^vb+hv+aux++=have
hindered ^vprf+++xvbnx+=hindered
the ^ati++++=the
consolidation ^nn+nom+++=consolidation
of ^in++++=of
the ^ati++++=the
national ^jj+atrb+++=national
model ^nn++++=model,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
by ^in++++=by
relaxing ^xvbg+++xvbg+=relaxing
requirements ^nns+nom+++=requirements
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
families ^nns++++=families
served ^vwbn+++xvbn+=served
by ^in++++=by
each ^ppls++++=each
team ^np++++=team
and ^cc++++=and
the ^ati++++=the
composition ^nn+nom+++=composition
of ^in++++=of
these ^dt+dem+++=these
teams ^nns++++=teams.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
revised ^jj+atrb++xvbn+=revised
policy ^nn++++=policy
grants ^nns++++=grants
municipal ^jj+atrb+++=municipal
governments ^nns+nom+++=governments
the ^ati++++=the
discretion ^nn+nom+++=discretion
to ^to++++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
to ^to++++=to
adhere ^vbi++++=adhere
to ^in++++=to
the ^ati++++=the
Family ^nn++++=Family
Health ^nn++++=Health
Strategy ^nn++++=Strategy
( ^zz++++=(FHS)
fhs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
to ^to++++=to
implement ^nn+nom+++=implement
alternative ^jj+atrb+++=alternative
models ^nns++++=models
of ^in++++=of
primary ^jj+atrb+++=primary
health ^nn++++=health
care ^nn++++=care.
. ^zz++++=EXTRAWORD
