With ^in++++=With
14 ^cd++++=14
species ^nn++++=species,
, ^zz++++=EXTRAWORD
Dipsadidae ^np+++??+=Dipsadidae
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
diverse ^jj+atrb+++=diverse
reptilian ^jj+atrb+++=reptilian
family ^nn++++=family
recorded ^vbd+++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT,
, ^zz++++=EXTRAWORD
a ^at++++=a
pattern ^nn++++=pattern
that ^tht+rel+obj++=that
aligns ^nns+++??+=aligns
with ^in++++=with
observations ^nns+nom+++=observations
of ^in++++=of
Squamata ^np+++??+=Squamata
diversity ^nn+nom+++=diversity
in ^in++++=in
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
remnants ^nns+nom+++=remnants
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Pontes ^np+++??+=Pontes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Rocha ^np+++??+=Rocha
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Martins ^np+++??+=Martins
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Dipsadidae ^np+++??+=Dipsadidae
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
distributed ^vpsv++agls+xvbnx+=distributed
throughout ^in++++=throughout
the ^ati++++=the
Americas ^nps++++=Americas
and ^cc++++=and
the ^ati++++=the
West ^nr+pl+++=West
Indies ^nps++++=Indies
( ^zz++++=(Hedges
hedges ^nns++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Zaher ^np+++??+=Zaher
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Grazziotin ^np+++??+=Grazziotin
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012)
) ^zz++++=EXTRAWORD
and ^cc++++=and
comprises ^vbz++++=comprises
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
snake ^nn++++=snake
species ^nn++++=species
in ^in++++=in
the ^ati++++=the
Neotropical ^np+++??+=Neotropical
region ^nn++++=region,
, ^zz++++=EXTRAWORD
with ^in++++=with
more ^rbr++++=more
than ^in++++=than
700 ^cd++++=700
recognized ^vpsv++agls+xvbn+=recognized
species ^nn++++=species
( ^zz++++=(Uetz
uetz ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
