There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
some ^dti++++=some
overlap ^nn++++=overlap
between ^in++++=between
textbooks ^nns++++=textbooks
and ^cc++++=and
readings ^nns++++=readings
on ^in++++=on
the ^ati++++=the
syllabuses ^nns++++=syllabuses,
, ^zz++++=EXTRAWORD
with ^in++++=with
361 ^cd++++=361
syllabuses ^nns++++=syllabuses
( ^zz++++=(10.6
10.6 ^cd++++=EXTRAWORD
percent ^nnu++++=percent
of ^in++++=of
the ^ati++++=the
total ^jj++++=total)
) ^zz++++=EXTRAWORD
requiring ^vbg+vsua++xvbg+=requiring
students ^nns++++=students
to ^in++++=to
purchase ^nn++++=purchase
a ^at++++=a
textbook ^nn++++=textbook
while ^cs+sub+++=while
also ^rb++++=also
assigning ^vbg+++xvbg+=assigning
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
additional ^jj+atrb+++=additional
required ^jj+atrb++xvbn+=required
reading ^nvbg+++xvbg+=reading.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
complete ^jj+atrb+++=complete
trade ^nn++++=trade
book ^nn++++=book
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
novel ^nn++++=novel,
, ^zz++++=EXTRAWORD
play ^nn++++=play,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
nonfiction ^nn+nom+++=nonfiction
work ^nn++++=work
was ^vbd+bedz+aux++=was
assigned ^vpsv++agls+xvbnx+=assigned
in ^in++++=in
its ^pp$+it+++=its
entirety ^nn++++=entirety
rather ^rb++++=rather
than ^in++++=than
as ^cs+sub+++=as
selected ^jj+atrb++xvbn+=selected
chapters ^nns+nom+++=chapters
or ^cc++++=or
excerpts ^nns++++=excerpts,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
excluded ^vpsv++agls+xvbnx+=excluded
from ^in++++=from
our ^pp$+pp1+++=our
calculations ^nns+nom+++=calculations.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
exclusion ^nn++++=exclusion
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
rationale ^nn++++=rationale
that ^tht+rel+obj++=that
the ^ati++++=the
purchase ^nn++++=purchase
of ^in++++=of
a ^at++++=a
trade ^nn++++=trade
book ^nn++++=book
directly ^rb++++=directly
compensates ^nns+nom+++=compensates
publishers ^nns+nom+++=publishers
and ^cc++++=and
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
such ^abl++++=such
transactions ^nns+nom+++=transactions
do ^vb+do+aux++=do
not ^xnot++not++=not
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
tariff ^nn++++=tariff
calculations ^nns+nom+++=calculations
for ^in++++=for
assigned ^xvbn+++xvbn+=assigned
readings ^nns++++=readings.
. ^zz++++=EXTRAWORD
