Linearity ^np+nom++??+=Linearity
tests ^nns++++=tests
should ^md+nec+++=should
be ^vb+be+aux++=be
conducted ^vpsv++agls+xvbnx+=conducted
on ^in++++=on
the ^ati++++=the
series ^nn++++=series
prior ^in+cmpx+++=prior
to ^in++++=to
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
as ^ql++++=as
applying ^jj+++xvbg+=applying
linear ^jj+atrb+++=linear
analytical ^jj+atrb+++=analytical
methods ^nns++++=methods
to ^in++++=to
series ^nn++++=series
that ^tht+rel+subj++=that
exhibit ^vb++++=exhibit
nonlinear ^nn+++??+=nonlinear
behavior ^nn++++=behavior
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
inaccurate ^jj+atrb+++=inaccurate
models ^nns++++=models.
. ^zz++++=EXTRAWORD
