It ^pp3+it+++=It
should ^md+nec+++=should
be ^vb+be+aux++=be
noted ^vpsv++agls+xvbnx+=noted,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
in ^in++++=in
example ^nn++++=example
( ^zz++++=(24),
24 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
quem ^nn+++??+=quem
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
nominal ^jj+atrb+++=nominal
antecedent ^nn++++=antecedent.
. ^zz++++=EXTRAWORD
A ^at++++=A
closer ^rbr++++=closer
examination ^nn+nom+++=examination
of ^in++++=of
this ^dt+dem+++=this
sentence ^nn+nom+++=sentence
reveals ^nns+nom+++=reveals
that ^tht+vcmp+++=that
the ^ati++++=the
lexical ^jj+atrb+++=lexical
item ^nn++++=item
quem ^nn+++??+=quem
functions ^nns+nom+++=functions
as ^in++++=as
a ^at++++=a
standard ^jj+atrb+++=standard
relative ^jj+atrb+++=relative
pronoun ^nn++++=pronoun
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
in ^in++++=in
( ^zz++++=(28)
28 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
below ^rb++++=below,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
quem ^nn+++??+=quem
can ^md+pos+++=can
be ^vb+be+aux++=be
readily ^rb++splt++=readily
replaced ^vpsv++by+xvbnx+=replaced
by ^in++++=by
the ^ati++++=the
relative ^jj+atrb+++=relative
pronouns ^nns++++=pronouns
que ^&fw++++=que
or ^cc++++=or
a ^at++++=a
qual ^jj++++=qual
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
macambira ^np++++=Macambira,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
medeiros ^np++++=Medeiros
junior ^nn++++=Junior,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
