Statistical ^jj+atrb+++=Statistical
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
R ^zz++++=R
software ^nn+++??+=software
version ^nn++++=version
3.6.0 ^cd++++=3.6.0.
. ^zz++++=EXTRAWORD
Comparisons ^nns++++=Comparisons
of ^in++++=of
species ^nn++++=species
richness ^nns+nom+++=richness,
, ^zz++++=EXTRAWORD
gravimetric ^jj+atrb+++=gravimetric
humidity ^nn+nom+++=humidity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
organic ^jj+atrb+++=organic
matter ^nn++++=matter
in ^in++++=in
dependent ^jj+atrb+++=dependent
samples ^nns++++=samples
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
the ^ati++++=the
paired ^jj+++xvbn+=paired
t ^zz++++=t-test,
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
statistical ^jj+atrb+++=statistical
significance ^nn+nom+++=significance
set ^vpsv++agls+xvbn+=set
at ^rb++++=at
p ^zz++++=p
< ^zz++++=<
0.05 ^nn++++=0.05.
. ^zz++++=EXTRAWORD
