Although ^cs+con+++=Although
apposition ^nn+nom+++=apposition
is ^vbz+bez+vrb++=is
a ^at++++=a
frequent ^jj+atrb+++=frequent
phenomenon ^nn++++=phenomenon
in ^in++++=in
natural ^jj+atrb+++=natural
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
syntactic ^jj+atrb+++=syntactic
characterization ^nn+nom+++=characterization
presents ^vbz++++=presents
significant ^jj++++=significant
challenges ^vbz++++=challenges.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
questions ^nns+nom+++=questions
arise ^vb++++=arise
when ^wrb+who+++=when
examining ^vbg+++xvbg+=examining
such ^abl++++=such
constructions ^nns+nom+++=constructions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
one ^cd1++++=one
being ^vbg+beg++xvbg+=being
the ^ati++++=the
determination ^nn+nom+++=determination
of ^in++++=of
their ^pp$+pp3+++=their
nature ^nn++++=nature
and ^cc+cls+++=and
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
possess ^nns+nom+++=possess
an ^at++++=an
independent ^jj+atrb+++=independent
syntactic ^jj+atrb+++=syntactic
structure ^nn++++=structure
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Meyer ^np++++=Meyer,
, ^zz++++=EXTRAWORD
1992 ^cd+date+++=1992).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
paper ^nn++++=paper
focuses ^vbz++++=focuses
on ^in++++=on
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
appositive ^jj+atrb+++=appositive
sentences ^nns+nom+++=sentences
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
those ^dt+dem+++=those
exemplified ^xvbn+++xvbn+=exemplified
in ^in++++=in
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
below ^rb++++=below.
. ^zz++++=EXTRAWORD
