Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
significant ^jj+atrb+++=significant
contributions ^nns+nom+++=contributions
to ^in++++=to
understanding ^xvbg+++xvbg+=understanding
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
governance ^nn+nom+++=governance
on ^in++++=on
donations ^nns+nom+++=donations
by ^in++++=by
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
individual ^jj+atrb+++=individual
governance ^nn+nom+++=governance
factors ^nns++++=factors
or ^cc++++=or
dimensions ^nns++++=dimensions.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
literature ^nn++++=literature
has ^vbz+hvz+vrb++=has
not ^xnot++not++=not
yet ^rb++++=yet
fully ^rb+amp+++=fully
addressed ^vbd+++xvbn+=addressed
the ^ati++++=the
potential ^jj+atrb+++=potential
impact ^nn++++=impact
of ^in++++=of
governance ^nn+nom+++=governance
conceptualized ^vbd+++xvbn+=conceptualized
as ^in++++=as
a ^at++++=a
latent ^jj+atrb+++=latent
variable ^nn++++=variable,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
interrelated ^jj+atrb+++=interrelated
dimensions ^nns++++=dimensions,
, ^zz++++=EXTRAWORD
on ^in++++=on
donations ^nns+nom+++=donations
received ^vwbn+++xvbn+=received
by ^in++++=by
nonprofit ^nn+++??+=nonprofit
organizations ^nns+nom+++=organizations
( ^zz++++=(NPOs).
npos ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
some ^dti++++=some
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
affect ^vbi++++=affect
donations ^nns+nom+++=donations
and ^cc++++=and
others ^aps++++=others
do ^vb+do+vrb++=do
not ^xnot++not++=not
as ^in++++=as
demonstrated ^nn++++=demonstrated
by ^in++++=by
Harris ^np++++=Harris
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
positive ^jj+atrb+++=positive
association ^nn+nom+++=association
between ^in++++=between
six ^cd++++=six
out ^rp+pl+++=out
of ^in++++=of
seven ^cd++++=seven
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions
and ^cc++++=and
donations ^nns+nom+++=donations
these ^dt+dem+++=these
findings ^nns++++=findings
clarify ^vb++++=clarify
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
specific ^jj+atrb+++=specific
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions
rather ^rb++++=rather
than ^in++++=than
governance ^nn+nom+++=governance
as ^in++++=as
an ^at++++=an
overarching ^jj+++xvbg+=overarching
latent ^jj++++=latent
construct ^vb++++=construct.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
central ^jj+atrb+++=central
research ^nn++++=research
question ^nn+nom+++=question
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+vrb++=is
whether ^cs+who+++=whether
governance ^nn+nom+++=governance,
, ^zz++++=EXTRAWORD
considered ^vpbn+vprv++xvbn+=considered
as ^ql++++=as
a ^at++++=a
second ^od++++=second-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
construct ^vb++++=construct,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
an ^at++++=an
effect ^nn++++=effect
on ^in++++=on
donor ^nn++++=donor-constrained
- ^zz++++=EXTRAWORD
constrained ^xvbn+++xvbn+=EXTRAWORD
donations ^nns+nom+++=donations.
. ^zz++++=EXTRAWORD
