A ^at++++=A
univariate ^nn+nom+++=univariate
exploratory ^jj+atrb+++=exploratory
analysis ^nn++++=analysis
of ^in++++=of
spatial ^jj+atrb+++=spatial
data ^nns++++=data
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
global ^jj+atrb+++=global
spatial ^jj+atrb+++=spatial
autocorrelation ^nn+nom+++=autocorrelation
of ^in++++=of
femicide ^nn+++??+=femicide
rates ^nns++++=rates
in ^in++++=in
the ^ati++++=the
municipalities ^nns+nom+++=municipalities
of ^in++++=of
Sergipe ^np+++??+=Sergipe
using ^vwbg+++xvbg+=using
the ^ati++++=the
Moran ^np+++??+=Moran
I ^pp1a+pp1+++=I
index ^nn++++=index,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
assumptions ^nns+nom+++=assumptions
of ^in++++=of
normality ^nn+nom+++=normality
and ^cc++++=and
randomization ^nn+nom+++=randomization.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Moran ^np+++??+=Moran
I ^pp1a+pp1+++=I
index ^nn++++=index
ranges ^nns++++=ranges
from ^in++++=from
- ^zz++++=-1.0
1.0 ^cd++++=EXTRAWORD
to ^to++++=to
+ ^zz++++=+1.0
1.0 ^cd++++=EXTRAWORD
and ^cc++++=and
evaluates ^nns+nom+++=evaluates
whether ^cs+who+++=whether
spatially ^rb++++=spatially
adjacent ^jj+atrb+++=adjacent
areas ^nns++++=areas
exhibit ^vb++++=exhibit
greater ^jjr+atrb+++=greater
similarity ^nn+nom+++=similarity
in ^in++++=in
femicide ^nn+++??+=femicide
rates ^nns++++=rates
than ^in++++=than
would ^md+prd+++=would
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
under ^in++++=under
a ^at++++=a
random ^jj+atrb+++=random
distribution ^nn+nom+++=distribution.
. ^zz++++=EXTRAWORD
Spatial ^jj+atrb+++=Spatial
autocorrelation ^nn+nom+++=autocorrelation,
, ^zz++++=EXTRAWORD
as ^in++++=as
measured ^nn++++=measured
by ^in++++=by
the ^ati++++=the
Moran ^np+++??+=Moran
I ^pp1a+pp1+++=I
index ^nn++++=index,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
positive ^jj++++=positive,
, ^zz++++=EXTRAWORD
negative ^jj++++=negative,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
absent ^jj++++=absent,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
the ^ati++++=the
degree ^nn++++=degree
to ^to++++=to
which ^whp+who+++=which
similar ^jj+atrb+++=similar
values ^nns++++=values
cluster ^nn+nom+++=cluster
in ^in++++=in
space ^nn++++=space.
. ^zz++++=EXTRAWORD
